Game	Date	Opponent	Score	Location	Record
1	Fri. Nov. 2	Cleveland Cavaliers	125-101	Boston Garden	1-0
2	Sat. Nov. 3	@ New York Knicks	106-103	Madison Square Garden	2-0
3	Tue. Nov. 6	@ Chicago Bulls	110-108	Chicago Stadium	3-0
4	Fri. Nov. 9	Chicago Bulls	100-120	Boston Garden	3-1
5	Sat. Nov. 10	@ New Jersey Nets	105-91	Brendan Byrne Arena	4-1
6	Tue. Nov. 13	@ Milwaukee Bucks	91-119	Bradley Center	4-2
7	Wed. Nov. 14	Charlotte Hornets	135-126	Boston Garden	5-2
8	Fri. Nov. 16	Utah Jazz	114-89	Boston Garden	6-2
9	Sat. Nov. 17	@ Washington Bullets	102-90	Capital Centre	7-2
10	Wed. Nov. 21	Houston Rockets	108-95	Boston Garden	8-2
11	Fri. Nov. 23	Sacramento Kings	115-105	Boston Garden	9-2
12	Sat. Nov. 24	@ Cleveland Cavaliers	113-102	Richfield Coliseum	10-2
13	Mon. Nov. 26	Miami Heat	118-101	Hartford Civic Center	11-2
14	Fri. Nov. 30	Washington Bullets	123-95	Boston Garden	12-2
