Tournament	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	A	A	A	A	LQ	1R	A	4R	A	2R	3R	1R	4R	2R	2R	LQ	1R
French Open	A	A	A	A	A	A	A	2R	A	1R	1R	1R	QF	A	2R	1R	1R	LQ	A
Wimbledon	A	A	A	A	LQ	A	LQ	2R	1R	1R	3R	1R	3R	A	2R	2R	2R	2R	A
US Open	A	A	A	A	LQ	A	1R	1R	1R	1R	4R	2R	1R	A	4R [a ]	1R	1R	2R	A
Win–Loss	0–0	0–0	0–0	0–0	0–0	0–0	0–1	2–4	0–2	3–4	5–3	2–4	8–4	0–1	8–3	2–4	2–4	2–2	0–1
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Singles	NH	NH	1R	Not held	Not held	Not held	1R	Not held	Not held	Not held	1R	Not held	Not held	Not held	1R	Not held	Not held	Not held	A
ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000
Indian Wells Masters	A	A	A	A	A	A	A	A	A	LQ	A	1R	2R	1R	2R	3R	1R	LQ	A
Miami Masters	A	A	A	A	A	A	A	A	A	3R	3R	4R	QF	2R	QF	1R	1R	LQ	A
Monte Carlo Masters	A	A	A	A	A	A	A	A	A	2R	LQ	2R	3R	A	3R	A	A	1R	A
Rome Masters	A	A	A	A	A	A	A	A	A	A	3R	1R	2R	A	QF	1R	A	A	A
Madrid Masters(Stuttgart)	A	A	A	A	A	LQ	LQ	LQ	2R	QF	QF	2R	1R	LQ	3R	1R	A	1R	A
Canada Masters	A	A	A	A	A	A	A	A	A	A	2R	W	2R	A	1R	2R	A	A	A
Cincinnati Masters	A	A	A	A	A	A	A	A	A	1R	1R	2R	1R	A	1R	1R	A	LQ	A
Paris Masters	A	A	A	A	A	1R	A	A	LQ	A	1R	1R	1R	F	3R	1R	A	A	A
Hamburg Masters	A	A	A	A	A	A	A	A	A	A	SF	1R	2R	A	3R	1R	A	LQ	A
Year End Ranking	460	548	489	311	408	214	135	118	68	41	27	28	26	69	18	80	113	75	1142
