Dish	Callsign	Network	Resolution	City of License	Official Website
•	XEFE	Televisa local	Analog	Nuevo Laredo	•
5272	KGNS	NBC	HD 1080i	Laredo	pro8news.com
8125	KGNS-DT2	The CW	SD 480i	Laredo	yourcwtv.com
8128	KGNS-DT3	Telemundo	SD 480i	Laredo	telemundo.com
•	KLRN	PBS	Analog	San Antonio	klrn.org
•	K10QK-D CP	Religious	Unknown	Laredo	feypoder.com`
•	XHBR	Canal de las Estrellas	HD 1080i	Nuevo Laredo	esmas.com
5270	KSAT	ABC	Analog	San Antonio	ksat.com
•	KVTV	CBS	HD 1080i	Laredo	cbs.com
8122	KVTV	CBS	SD 480i	Laredo	cbs.com
•	KLMV-LD	BVB	SD 480i	Laredo	bvb.com
•	XHLNA	Azteca 13	HD 1080i	Nuevo Laredo	tvazteca.com
•	XHLNA	Azteca 13	3D 720p	Nuevo Laredo	tvazteca.com
8126	KLDO	Univision	HD 1080i	Laredo	kldotv.com
•	KLDO-DT2	Telefutura	SD 480i	Laredo	ketftv.com
•	KLDO-DT3	Fox / MyNet	SD 480i	Laredo	myfoxlaredo.com
•	KLDO-DT4	LATV	SD 480i	Laredo	ketftv.com
•	KETF-CD	Telefutura	SD 480i	Laredo	ketftv.com
•	KETF-DT2	Fox HD / MyNet	HD 720p	Laredo	myfoxlaredo.com
•	KETF-DT3	LATV	SD 480i	Laredo	ketftv.com
•	XHLAT	Azteca 7	HD 1080i	Nuevo Laredo	tvazteca.com
8124	KXOF-CD	Fox / MyNet	Analog	Laredo	myfoxlaredo.com
•	XHNAT	Multimedios	HD 1080i	Nuevo Laredo	multimedios.tv
•	KNEX	KQUR Audio	Analog	Laredo	•
•	XHLAR	Televisa Regional	SD 480i	Nuevo Laredo	televisa.com
