Date	Opponent	Score	Loss	Save
September 1	@ Braves	5 - 1	Wilson (5-3)	Stanton (2)
September 2	@ Braves	10 - 3	Clary (4-3)	|| 41,020 ||76-59||
September 3	@ Braves	8 - 5	Bielecki (14-6)	Stanton (3)
September 4	@ Mets	7 - 3	Cone (12-7)	Lancaster (6)
September 5	@ Mets	3 - 2	Williams (4-3)	|| 39,352 ||77-61||
September 6	@ Phillies	9 - 1	Maddux (16-11)	|| 17,272 ||77-62||
September 7	@ Phillies	6 - 2	Howell (11-11)	|| 13,058 ||78-62||
September 8	Cardinals	11 - 8	Williams (4-4)	Quisenberry (6)
September 9	Cardinals	3 - 2 10	Dayley (3-2)	|| 37,633 ||79-63||
September 10	Cardinals	4 - 1	Hill (7-12)	Williams (32)
September 11	Expos	4 - 3	Langston (11-7)	Williams (33)
September 12	Expos	2 - 0	B. Smith (10-9)	|| 36,333 ||82-63||
September 13	Expos	3 - 1	Gross (11-11)	Lancaster (7)
September 15	@ Pirates	7 - 2	Belinda (0-1)	|| 12,607 ||84-63||
September 16	@ Pirates	8 - 6	Maddux (17-12)	|| 15,668 ||84-64||
September 17	@ Pirates	2 - 0	Bielecki (16-7)	|| 21,081 ||84-65||
September 18	Mets	10 - 6	Viola (3-5)	Williams (34)
September 19	Mets	5 - 2	Wilson (5-4)	Gooden (1)
September 20	Phillies	9 - 8	Lancaster (3-2)	McDowell (19)
September 21	Phillies	9 - 1	Mulholland (4-7)	|| 22,885 ||86-67||
September 22	Pirates	4 - 2	Drabek (13-12)	Williams (35)
September 23	Pirates	3 - 2	Bair (2-3)	|| 36,849 ||88-67||
September 24	Pirates	4 - 2	Robinson (7-12)	Pico (1)
September 25	@ Expos	4 - 3 10	Sanderson (11-9)	|| 10,305 ||89-68||
September 26	@ Expos	3 - 2	Den. Martinez (16-7)	Williams (36)
September 27	@ Expos	7 - 2	Thompson (0-2)	Pico (2)
September 29	@ Cardinals	7 - 5	Assenmacher (3-4)	Terry (2)
September 30	@ Cardinals	6 - 4	Costello (5-4)	Lancaster (8)
