Date	Visitor	Score	Home	Leading scorer	Record
3 November 2007	Pacers	121–111	Grizzlies	Kyle Lowry (19)	0–2
7 November 2007	Grizzlies	105–98	SuperSonics	Rudy Gay (25)	1–2
9 November 2007	Grizzlies	98–110	Trail Blazers	Rudy Gay (31)	1–3
10 November 2007	Grizzlies	94–118	Jazz	Rudy Gay (18)	1–4
13 November 2007	Rockets	99–105	Grizzlies	Pau Gasol (26)	2–4
14 November 2007	Grizzlies	99–102	Bucks	Rudy Gay (26)	2–5
16 November 2007	Hornets	120–118	Grizzlies	Juan Carlos Navarro (28)	2–6
17 November 2007	Grizzlies	105–108	Mavericks	Mike Miller (23)	2–7
19 November 2007	SuperSonics	108–125	Grizzlies	Stromile Swift (24)	3–7
21 November 2007	Raptors	95–89	Grizzlies	Two-way tie (16)	3–8
23 November 2007	Grizzlies	88–101	Spurs	Juan Carlos Navarro (16)	3–9
24 November 2007	Wizards	118–124	Grizzlies	Juan Carlos Navarro (28)	4–9
27 November 2007	Grizzlies	110–103	Nets	Pau Gasol (22)	5–9
28 November 2007	Grizzlies	91–103	Raptors	Juan Carlos Navarro (15)	5–10
