Date	Opponent	Score	Loss	Attendance	Record
May 1	Angels	6 - 4	Witt (1-3)	36,115	10-13
May 2	@ Mariners	7 - 5	Flanagan (2-2)	13,197	10-14
May 3	@ Mariners	9 - 2	Campbell (2-3)	9,970	11-14
May 4	@ Athletics	3 - 2	Clancy (1-3)	21,401	11-15
May 5	@ Athletics	8 - 5	Núñez (0-1)	16,998	11-16
May 6	@ Angels	3 - 2	Witt (1-4)	29,237	12-16
May 7	@ Angels	9 - 4	Fraser (3-2)	32,630	13-16
May 8	@ Angels	8 - 1	Stottlemyre (1-3)	29,026	13-17
May 10	Mariners	4 - 2	Clancy (1-4)	28,290	13-18
May 11	Mariners	9 - 3	Moore (2-4)	27,575	14-18
May 12	Mariners	8 - 2	Swift (2-1)	30,334	15-18
May 13	@ White Sox	4 - 1	Stottlemyre (1-4)	10,583	15-19
May 14	@ White Sox	7 - 5	Cerutti (1-2)	23,532	15-20
May 15	@ White Sox	6 - 5 (11)	Eichhorn (0-2)	13,948	15-21
May 16	@ White Sox	5 - 1	Horton (3-6)	8,310	16-21
May 17	Rangers	7 - 6 (14)	Eichhorn (0-3)	25,170	16-22
May 18	Rangers	4 - 0	Stottlemyre (1-5)	25,029	16-23
May 20	@ Brewers	3 - 1	Wegman (4-5)	19,539	17-23
May 21	@ Brewers	4 - 0	Bosio (6-4)	38,124	18-23
May 22	@ Brewers	7 - 1	Flanagan (4-3)	37,658	18-24
May 23	@ Brewers	9 - 7	Stottlemyre (1-6)	10,523	18-25
May 24	@ Rangers	13 - 2	Hayward (3-1)	26,408	19-25
May 25	@ Rangers	5 - 1	Clancy (2-5)	13,528	19-26
May 26	@ Rangers	8 - 7	Henke (0-1)	13,035	19-27
May 27	White Sox	4 - 3	Thigpen (1-5)	31,454	20-27
May 28	White Sox	3 - 2	Stottlemyre (1-7)	42,420	20-28
May 29	White Sox	4 - 2	LaPoint (4-4)	42,057	21-28
May 30	Brewers	4 - 1	Clancy (2-6)	27,275	21-29
May 31	Brewers	9 - 0	Bosio (6-6)	28,446	22-29
