Res.	Record	Opponent	Method	Event	Round	Location
Win	15-6	Travis McCullough	Submission (rear naked choke)	Xplode Fighting Series - Brutal Conduct	1	Valley Center, California , United States
Win	14–6	Ryan Trotter	Submission (rear naked choke)	Xplode Fight Series - Rumble off the Reservation	1	Valley Center, California , United States
Loss	13–6	Melvin Costa	TKO (punches)	Gladiator Challenge - Royal Flush	2	San Jacinto, California , United States
Loss	13–5	Luigi Fioravanti	Decision (unanimous)	UFC: Fight for the Troops	3	Fayetteville, North Carolina , United States
Loss	13–4	Rory Markham	KO (head kick)	UFC: Silva vs. Irvin	1	Las Vegas , United States
Win	13–3	Eduardo Gonzalez	KO (knees)	MMAX 18 – MMA Xtreme 18	1	Tijuana , Mexico
Win	12–3	Miguel Carrasco	Submission (triangle choke)	MMAX 16 – MMA Xtreme 16	1	Mexico City , Mexico
Win	11–3	Francisco Rosas	Submission (rear naked choke)	MMAX 11 – MMA Xtreme 11	1	Mexico
Win	10–3	Raul Alcala	TKO (strikes)	MMAX 7 – MMA Xtreme 7	1	Tijuana , Mexico
Win	9–3	Nestor Martinez	Submission (rear naked choke)	MMAX 4 – MMA Xtreme 4	1	Tijuana , Mexico
Win	8–3	Stacy Hakes	TKO (referee stoppage)	MMAX 4 – MMA Xtreme 4	1	Tijuana , Mexico
Loss	7–3	Brian Warren	Submission (triangle choke)	PF 1 – The Beginning	2	Hollywood, California , United States
Win	7–2	John Wood	Submission (guillotine choke)	WEF – Sin City	1	Las Vegas, Nevada , United States
Win	6–2	José Ramos	Submission (rear naked choke)	TC 8 – Total Combat 8	1	Tijuana , Mexico
Loss	5–2	Sean Sherk	Submission (guillotine choke)	SF 6 – Battleground in Reno	1	Reno, Nevada , United States
Win	5–1	Hans Marrero	Decision (split)	RITC 64 – Heart & Soul	3	Phoenix, Arizona , US
Win	4–1	Robert Maldonado	TKO	RITC 63 – It's Time	1	Phoenix, Arizona , US
Win	3–1	Gabriel Casillas	Decision (unanimous)	RITC 49 – Stare Down	3	Phoenix, Arizona , US
Loss	2–1	Bret Bergmark	TKO (punches)	WEC 6 – Return of a Legend	1	Lemoore, California , United States
Win	2–0	Rich Moss	Submission (keylock)	RITC 45 – Finally	1	Phoenix, Arizona , US
Win	1–0	Hector Figueroa	Submission (guillotine choke)	RM 2 – Reto Maximo 2	1	Tijuana , Mexico
