Date	Ship	Nationality	Tonnage	Fate
9 September 1941	Empire Springbuck	UK	5,591	Sunk
10 September 1941	Sally Mærsk	UK	3,252	Sunk
13 November 1941	HMSArk Royal	UK	22,600	Sunk
16 April 1942	Bab el Farag*	Egypt	105	Sunk
16 April 1942	Caspia	UK	6,018	Sunk
16 April 1942	Fatouhel el Rahman*	Egypt	97	Sunk
16 April 1942	FFL Vikings	France	1,150	Sunk
19 April 1942	Hefz el Rahman*	Egypt	90	Sunk
22 April 1942	Aziza*	Egypt	100	Sunk
22 April 1942	Havre	UK	2,073	Sunk
10 November 1942	Garlinge	UK	2,012	Sunk
13 November 1942	Maron	UK	6,487	Sunk
10 February 1943	Saroena	UK	6,671	Damaged
11 February 1943	Al Kasbanah*	Egypt	110	Sunk
11 February 1943	Dolphin*	Mandatory Palestine	135	Sunk
11 February 1943	Husni*	Lebanon	107	Sunk
11 February 1943	Sabah al Kheir*	Egypt	36	Sunk
20 March 1943	Bourgheih*	Egypt	244	Sunk
20 March 1943	Mawahab Allah*	Syria	77	Sunk
28 March 1943	Rouisdi*	Egypt	133	Sunk
17 June 1943	Yoma	UK	8,131	Sunk
25 June 1943	Nisr*	Egypt	80	Sunk
26 June 1943	Nelly*	Syria	80	Sunk
26 June 1943	Toufic Allah*	Syria	75	Sunk
27 June 1943	Michalios	Greece	3,742	Sunk
22 July 1943	Empire Moon	UK	7,472	Total loss
18 November 1943	Empire Dunstan	UK	2,887	Sunk
