Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1971	Kenneth Wain	Barbara Martin	Alfred Cefai Kenneth Wain	Carrol McKenzie Hazel Tough	John Farmer Barbara Martin
1972	David Jepson	Norma Lovett	David Jepson Buck Ryan	Norma Lovett Patricia Hodson	David Jepson Sandra Jepson
1973	Gert Lazarotti	Elisabeth Schechtner	Bert Lazarotti George Hoffmann	Gitte Lynge Joana Fagerlund	Berthold Auer Elisabeth Schechtner
1974	Frank Andersen	Jette Moberg	Frank Andersen Peter Morck	Jette Moberg Suzanne Pilegaard	Frank Andersen Jette Moberg
1975	Peter Morck	Suzanne Pilegaard	Alfred Hofer Dieter Hofer	Charlotte Andersen Suzanne Pilegaard	Alfred Hofer Pat Smiles
1976	Alfred Hofer	Pat Smiles	Alfred Cefai Kenneth Wain	Carmen Worley Doreen Cann	Alfred Hofer Pat Smiles
1977	No competition	No competition	No competition	No competition	No competition
1978	Axel Rosenow	Joyce Abdilla	Werner Langthaler Gerhard Brandl	Joyce Abdilla Marcelle Micallef	Axel Rosenow Marion Rosenow
1979	Axel Rosenow	Joyce Abdilla	Vincent Curmi Paul Vella	Joyce Abdilla Marcelle Micalegg	Axel Rosenow Marion Rosenow
1980	Joachim Reiche	Claudia Steidler	Joachim Reiche D. Werntz	Claudia Steidler Marion Rosenow	Axel Rosenow Marion Rosenow
1981	David Eddy	Muriel Cain	L. Merrild M. Mogensen	Muriel Cain Pauline Kennish	M. Morgensen H. Karlsson
1982	Clemens Wortel	Muriel Cain	P. Mead P. Cannel	Muriel Cain Pauline Kennish	C. D. Lichtenberg L. Riiser
1983	David Eddy	Muriel Cain	David Eddy Chris Baxter	Muriel Cain Pauline Kennish	Clemens Wortel Barbara Kolander
1984	Tariq Farooq	Liselotte Blumer	B. Krammer J. Thau	Liselotte Blumer Corinne Sonnet	Martin Skovgaard Anette Larsen
1985	Martin Skovgaard	Bente Hansen	Martin Skovgaard Henrik Neergaard	Debbie Buddle Jane Banham	Martin Skovgaard Anette Larsen
1986	Denis Tjin-Asjoe	Doris Gerstenkorn	Martin Skovgaard Jens Moller Madsen	Helga Schönbauer Heidemarie Himsl	Andrew Mickleborough Pauline Guest
1987	Hubert Müller	Alison Fisher	Martin Skovgaard Jens Moller Madsen	Alison Fisher Carol Liem	Arless Tjin Asjoe Carol Liem
1988	Tony Tuominen	Alison Fisher	Thomas Althaus Hubert Müller	Diana Koleva Andrea Roschinsky	Thomas Althaus Charlotte Pederson
1989	Klaus Fischer	Diana Koleva	Klaus Fischer Heinz Fischer	Diana Koleva Emilia Dimitrova	Vladimir Balun Emilia Dimitrova
1990	Claus Thomsen	Mira Sunari	Michael Søgaard Martin Skovgaard	Monika Cassens Petra Michalowsky	Michael Keck Mira Sundari
1991	No competition	No competition	No competition	No competition	No competition
1992	Tomasz Mendrek	Irina Serova	Kai Abraham Heinz Fischer	Diana Koleva Diana Filipova	Kai Abraham Sabine Ploner
