Game	October	Opponent	Score	Location/Attendance	Record	Points
1	7	@ Pittsburgh Penguins	3 – 2	Consol Energy Center (18,289)	1–0–0	2
2	9	@ St. Louis Blues	1 – 2 (OT)	Scottrade Center (19,150)	1–0–1	3
3	11	Colorado Avalanche	4 – 2	Wells Fargo Center (19,652)	2–0–1	5
4	14	Tampa Bay Lightning	2 – 3	Wells Fargo Center (19,592)	2–1–1	5
5	16	Pittsburgh Penguins	1 – 5	Wells Fargo Center (19,684)	2–2–1	5
6	21	Anaheim Ducks	2 – 3	Wells Fargo Center (19,012)	2–3–1	5
7	23	Toronto Maple Leafs	5 – 2	Wells Fargo Center (19,382)	3–3–1	7
8	25	@ Columbus Blue Jackets	1 – 2	Nationwide Arena (11,727)	3–4–1	7
9	26	Buffalo Sabres	6 – 3	Wells Fargo Center (19,361)	4–4–1	9
10	29	@ Pittsburgh Penguins	3 – 2	Consol Energy Center (18,275)	5–4–1	11
