Game	Date	Opponent	Score	First Star	Decision	Location	Attendance	Record	Points
64	March 1	Montreal Canadiens	1-3	C. Price	C. Mason	Philips Arena	11156	26-27-11	63
65	March 3	Ottawa Senators	1-3	B. Bulter	C. Mason	Philips Arena	10461	26-28-11	63
66	March 5	Florida Panthers	4-3 OT	A. Ladd	C. Mason	Philips Arena	15799	27-28-11	65
67	March 9	Carolina Hurricanes	3-2 OT	O. Pavelec	O. Pavelec	RBC Center	16126	28-28-11	67
68	March 11	New Jersey Devils	2-3 OT	T. Zajac	O. Pavelec	Philips Arena	16073	28-28-12	68
69	March 12	Philadelphia Flyers	5-4 OT	V. Leino	C. Mason	Wells Fargo Center	19892	29-28-12	70
70	March 15	New Jersey Devils	2-4	J. Josefson	O. Pavelec	Prudential Center	16188	29-29-12	70
71	March 17	Philadelphia Flyers	4-3 SO	R. Hainsey	O. Pavelec	Philips Arena	16502	30-29-12	72
72	March 19	Buffalo Sabres	2-8	M. Mancari	O. Pavelec	HSBC Arena	18690	30-30-12	72
73	March 24	New York Islanders	2-1	B. Wheeler	C. Mason	Nassau Coliseum	11874	31-30-12	74
74	March 25	Vancouver Canucks	1-3	R. Luongo	C. Mason	Philips Arena	16237	31-31-12	74
75	March 27	Ottawa Senators	5-4 SO	B. Maxwell	C. Mason	Philips Arena	16392	32-31-12	76
76	March 29	Montreal Canadiens	1-3	C. Price	O. Pavelec	Bell Centre	21273	32-32-12	76
