Outcome	Date	Tournament	Surface	Partner	Opponent in Final	Score in Final
Runner-up	1 August 2005	$10,000 – Jakarta , Indonesia F1	Hard	Febi Widhiyanto	Suwandi Suwandi Bonit Wiryawan	4–6, 2–6
Runner-up	13 August 2007	$10,000 – Indonesia F3	Hard	Bonit Wiryawan	Huai-En Chang Hsien-Yin Peng	5–7, 3–6
Winner	17 September 2007	$10,000 – Indonesia F5	Hard	Andrian Raturandang	Aditya Madkekar Ashutosh Singh	6–3, 2–6, [10–5]
Winner	18 February 2008	$10,000 – Thailand F2	Hard	Nathan Thompson	Roman Jebavy Filip Zeman	6–4, 6–2
Winner	25 February 2008	$10,000 – Thailand F3	Hard	Nathan Thompson	Mao-Xin Gong Norikazu Sugiyama	6–2, 6–4
Winner	28 July 2008	$10,000 – Indonesia F1	Hard	Ayrton Wibowo	Hsien-Yin Peng Chu-Huan Yi	6–1, 7–5
Winner	3 November 2008	$10,000 – Malaysia F1	Hard	Nathan Thompson	Siarhei Betau Andrei Karatchenia	6–3, 6–4
Winner	3 August 2009	$10,000 – Iran F5	Clay	Sunu-Wahyu Trijati	Alexei Filenkov Murad Inoyatov	6–2, 6–0
Winner	24 August 2009	$10,000 – Thailand F2	Hard	Ketut-Nesa Arta	Tasuku Iwami Hiroki Moriya	4–6, 6–4, [12–10]
Runner-up	31 August 2009	$10,000 – Thailand F3	Hard	Ketut-Nesa Arta	Hsin-Han Lee Tsung-Hua Yang	6–7(4), 4–6
Winner	14 June 2010	$10,000 – Tegal , Indonesia F3	Hard	Nathan Thompson	Weerapat Doakmaiklee Kittipong Wachiramanowong	4–6, 6–4, [12–10]
Runner-up	28 June 2010	$10,000 – Kuala Lumpur , Malaysia F2	Hard	Nathan Thompson	Kaden Hensel Dane Propoggia	1–6, 6–7(1)
Winner	8 November 2010	$10,000 – Khon Kaen , Thailand F4	Hard	Kirati Siributwong	Dorian Descloix Yannick Jankovits	6–2, 7–6(6)
Runner-up	11 April 2011	$10,000 – Khon Kaen , Thailand F3	Hard	Kirati Siributwong	Weerapat Doakmaiklee Kittipong Wachiramanowong	0–6, 2–6
Winner	18 April 2011	$10,000 – Noida , India F4	Hard	Kittipong Wachiramanowong	Junn Mitsuhashi Danai Udomchoke	6–7(1), 6–3, [10–6]
Winner	4 June 2011	$10,000 – Surabaya , Indonesia F2	Hard	Weerapat Doakmaiklee	Huang Liang-chi Ouyang Bowen	6–4, 7–5
Winner	11 June 2011	$10,000 – Jakarta , Indonesia F3	Hard	Weerapat Doakmaiklee	David Agung Susanto Sunu-Wahyu Trijati	7–5, 6–0
Winner	17 June 2011	$10,000 – Tokyo, Japan F6	Hard	Chu-Huan Yi	Cheng-Peng Hsieh Hsin-Han Lee	7–6(2), 6–3
Winner	24 June 2011	$10,000 – Tokyo, Japan F7	Grass	Chu-Huan Yi	Cheng-Peng Hsieh Hsin-Han Lee	6–4, 6–3
Runner-up	25 May 2012	$10,000 – Bangkok , Thailand F3	Hard	David Agung Susanto	Hsin-Han Lee Hsien-Yin Peng	6–7(3), 3–6
Winner	30 June 2012	$15,000 – Jakarta , Indonesia F1	Hard	Elbert Sie	Kim Cheong-eui Oh Dae-soung	4–6, 7–5, [10–3]
Winner	15 June 2013	$15,000 – Amstelveen , Netherlands F1	Clay (Red)	Henri Kontinen	Niels Lootsma Jelle Sels	6–1, 7–5
Winner	22 June 2013	$15,000 – Alkmaar , Netherlands F2	Clay (Red)	Henri Kontinen	David Skoch Jan Zednik	7–5, 7–6(7)
Winner	29 June 2013	$15,000 – Breda , Netherlands F3	Clay (Red)	Henri Kontinen	Bjorn Fratangelo Mitchell Krueger	6–4, 7–5
