Title	Series	Director	Production Num.	Release date
The Shanty Where Santy Claus Lives	MM	Rudolf Ising	5583	1933-01-07
Bosko in Dutch	LT	Hugh Harman and Friz Freleng	5584	1933-01-14
One Step Ahead of My Shadow	MM	Rudolf Ising	5610	1933-02-04
Bosko in Person	LT	Hugh Harman and Friz Freleng	5511	1933-02-11
Young and Healthy	MM	Rudolf Ising	5661	1933-03-04
Bosko the Speed King	LT	Hugh Harman	5662	1933-03-11
The Organ Grinder	MM	Rudolf Ising	5733	1933-04-08
Bosko's Knight-Mare	LT	Hugh Harman	5750	1933-04-29
Wake Up the Gypsy in Me	MM	Rudolf Ising	5778	1933-05-13
Bosko the Sheep-Herder	LT	Hugh Harman	5808	1933-06-03
I Like Mountain Music	MM	Rudolf Ising	5825	1933-06-10
Beau Bosko	LT	Hugh Harman and Friz Freleng	5873	1933-07-01
Shuffle Off to Buffalo	MM	Rudolf Ising and Friz Freleng	5874	1933-07-08
Bosko's Mechanical Man	LT	Hugh Harman	5888	1933-07-29
The Dish Ran Away with the Spoon	MM	Rudolf Ising	5945	1933-08-05
Bosko the Musketeer	LT	Hugh Harman	5946	1933-08-12
Bosko's Picture Show	LT	Hugh Harman and Friz Freleng	5955	1933-08-26
We're in the Money	MM	Rudolf Ising	5954	1933-08-26
Buddy's Day Out	LT	Tom Palmer	5957	1933-09-09
I've Got to Sing a Torch Song	MM	Tom Palmer	5956	1933-09-30
Buddy's Beer Garden	LT	Earl Duvall	5987	1933-11-18
Buddy's Show Boat	LT	Earl Duvall	6033	1933-12-09
Sittin' on a Backyard Fence	MM	Earl Duvall	5988	1933-12-16
