Tournament	2006	2007	2008	2009	2010	2011	2012
Australian Open	A	A	Q2	1R	4R	2R	1R
French Open	A	A	1R	2R	3R	3R	1R
Wimbledon	A	A	1R	1R	3R	4R	3R
US Open	A	A	1R	SF	4R	2R	2R
Win–Loss	0–0	0–0	0–3	6–4	10–4	7–4	3–4
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	A	A	2R	4R	SF	2R
Miami	A	A	A	1R	QF	2R	4R
Madrid	Not Held	Not Held	Not Held	A	A	1R	2R
Beijing	Not Held	Not Held	Not Held	A	1R	A	1R
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Dubai	Not Held	Not Held	Not Held	A	1R	3R	NP5
Doha	Not Tier I	Not Tier I	A	Not Held	Not Held	NP5	QF
Rome	A	A	A	A	3R	3R	1R
Cincinnati	Not Held	Not Held	Not Held	2R	QF	2R	1R
Canada	A	A	A	1R	2R	1R	1R
Tokyo	A	A	A	A	1R	A	1R
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Year End Ranking	534	221	69	16	23	26	23
