Date	Opponent	Score	Loss	Attendance	Record
May 1	Royals	6 - 5	Betancourt (1-1)	17,672	9-15
May 3	@ Twins	4 - 2	Mays (1-1)	16,919	10-15
May 4	@ Twins	5 - 4	Romero (0-2)	19,856	11-15
May 5	@ Twins	9 - 0	Sabathia (2-1)	18,265	11-16
May 6	@ Rangers	8 - 6	Astacio (1-4)	30,742	12-16
May 7	@ Rangers	6 - 1	Elarton (0-2)	36,311	12-17
May 8	@ Rangers	7 - 2	Westbrook (1-6)	23,203	12-18
May 9	@ Angels	3 - 0	Lackey (3-2)	36,763	13-18
May 10	@ Angels	5 - 4	Sabathia (2-2)	38,320	13-19
May 11	@ Angels	9 - 3	Escobar (1-2)	35,508	14-19
May 13	Blue Jays	6 - 4	Lilly (1-4)	19,637	15-19
May 14	Blue Jays	3 - 2	Frasor (1-3)	22,525	16-19
May 15	Blue Jays	5 - 2	Sabathia (2-3)	23,446	16-20
May 16	Angels	3 - 1	Lee (4-2)	13,729	16-21
May 17	Angels	13 - 5	Santana (0-1)	15,033	17-21
May 18	Angels	2 - 1	Westbrook (1-7)	19,030	17-22
May 20	@ Reds	2 - 1	Millwood (1-4)	25,412	17-23
May 21	@ Reds	5 -3	Ramírez (0-2)	31,083	18-23
May 22	@ Reds	9 - 2	Ortiz (1-3)	21,862	19-23
May 23	Twins	2 - 1	Lohse (3-3)	13,257	20-23
May 24	Twins	6 - 3 (11)	Riske (1-1)	15,884	20-24
May 25	Twins	3 - 2 (10)	Rincón (2-2)	15,794	21-24
May 26	Twins	5 - 4 (11)	Riske (1-2)	19,161	21-25
May 27	Athletics	4 - 1	Zito (1-6)	19,711	22-25
May 28	Athletics	6 - 3	Saarloos (1-4)	33,646	23-25
May 29	Athletics	6 - 2	Etherton (1-1)	25,737	24-25
May 31	@ Twins	4 - 3	Silva (3-3)	15,494	25-25
