Rank	Heat	Name	Nationality	Time
1	3	Tyson Gay	United States	20.08
2	2	Usain Bolt	Jamaica	20.13
2	3	Marvin Anderson	Jamaica	20.13
4	1	Rodney Martin	United States	20.25
5	2	Wallace Spearmon	United States	20.26
6	1	Brian Dzingai	Zimbabwe	20.28
7	1	Brendan Christian	Antigua and Barbuda	20.36
8	3	Francis Obikwelu	Portugal	20.38
9	2	Churandy Martina	Netherlands Antilles	20.39
10	1	Christopher Williams	Jamaica	20.40
11	2	Bryan Barnett	Canada	20.41
12	4	Paul Hession	Ireland	20.50
13	4	Anastasios Gousis	Greece	20.51
14	4	Kristof Beyens	Belgium	20.52
15	3	Marcin Jędrusiński	Poland	20.53
16	4	Patrick Johnson	Australia	20.62
17	1	Matic Osovnikar	Slovenia	20.65
18	3	Sandro Viana	Brazil	20.68
19	3	Shingo Suetsugu	Japan	20.70
20	1	Amr Ibrahim Mostafa Seoud	Egypt	20.72
21	1	Shinji Takahira	Japan	20.77
22	2	Visa Hongisto	Finland	20.78
23	1	James Dolphin	New Zealand	20.80
24	4	Arnaldo Abrantes	Portugal	20.82
25	3	Marco Cribari	Switzerland	20.86
26	2	Tomoya Kamiyama	Japan	20.89
27	4	Ivan Teplykh	Russia	20.98
28	2	Basílio de Moraes	Brazil	21.07
29	4	Marc Schneeberger	Switzerland	21.09
30	2	Jacobi Mitchell	Bahamas	21.17
31	3	Guus Hoogmoed	Netherlands	21.32
32	4	Franklin Nazareno	Ecuador	21.50
