Lt. Governor	Commission Date	End Date	Governor	Party	Term
Pierre Menard	October 6, 1818	December 5, 1822	Shadrach Bond	Democratic- Republican	1818–1822
Adolphus Hubbard	December 5, 1822	December 6, 1826	Edward Coles	Democratic- Republican	1822–1826
William Kinney	December 6, 1826	December 9, 1830	Ninian Edwards	Democratic- Republican	1826–1830
Zadok Casey	December 9, 1830	March 1, 1833	John Reynolds	Democratic	1830–1834
William Lee D. Ewing	March 1, 1833	December 5, 1834	John Reynolds	Democratic	1830–1834
Office vacant	November 17, 1834	December 5, 1834	William Lee Davidson Ewing	Democratic	1834
Alexander Jenkins	December 5, 1834	December 9, 1836 Resigned	Joseph Duncan	Democratic	1834–1838
William H. Davidson	December 9, 1836 Acting	December 7, 1838	Joseph Duncan	Democratic	1834–1838
Stinson Anderson	December 7, 1838	December 8, 1842	Thomas Carlin	Democratic	1838–1842
John Moore	December 8, 1842	December 9, 1846	Thomas Ford	Democratic	1842–1846
Joseph Wells	December 9, 1846	January 8, 1849	Augustus C. French	Democratic	1846–1853
William McMurtry	January 8, 1849	January 10, 1853	Augustus C. French	Democratic	1846–1853
Gustavus Koerner	January 10, 1853	January 12, 1857	Joel Aldrich Matteson	Democratic	1853–1857
John Wood	January 12, 1857	March 20, 1860	William Henry Bissell	Republican	1857–1860
Thomas Marshall	January 7, 1861	January 14, 1861	John Wood	Republican	1860–1861
Francis Hoffmann	January 14, 1861	January 16, 1865	Richard Yates	Republican	1861–1865
William Bross	January 16, 1865	January 11, 1869	Richard J. Oglesby	Republican	1865–1869
John Dougherty	January 11, 1869	January 13, 1873	John M. Palmer	Republican	1869–1873
John Lourie Beveridge	January 13, 1873	January 23, 1873 Succeeded Oglesby	Richard J. Oglesby	Republican	1873
John Early	January 23, 1873 Acting	January 8, 1875	John Lourie Beveridge	Republican	1873–1877
Archibald Glenn	January 8, 1875 Acting	January 8, 1877	John Lourie Beveridge	Republican	1873–1877
Andrew Shuman	January 8, 1877	January 10, 1881	Shelby Moore Cullom	Republican	1877–1883
John Marshall Hamilton	January 10, 1881	February 6, 1883 Succeeded Cullom	Shelby Moore Cullom	Republican	1877–1883
William J. Campbell	February 6, 1883 Acting	January 30, 1885	John Marshall Hamilton	Republican	1883–1885
John Smith	January 30, 1885	January 14, 1889	Richard J. Oglesby	Republican	1885–1889
Lyman Ray	January 14, 1889	January 10, 1893	Joseph W. Fifer	Republican	1889–1893
Joseph B. Gill	January 10, 1893	January 11, 1897	John Peter Altgeld	Democratic	1893–1897
William Northcott	January 11, 1897	January 14, 1901	John R. Tanner	Republican	1897–1901
William Northcott	January 14, 1901	January 9, 1905	Richard Yates	Republican	1901–1905
Lawrence Sherman	January 9, 1905	January 18, 1909	Charles S. Deneen	Republican	1905–1913
John G. Oglesby	January 18, 1909	February 3, 1913	Charles S. Deneen	Republican	1905–1913
Barratt O'Hara	February 3, 1913	January 8, 1917	Edward F. Dunne	Democratic	1913–1917
John G. Oglesby	January 8, 1917	January 10, 1921	Frank O. Lowden	Republican	1917–1921
Fred Sterling	January 10, 1921	January 14, 1929	Len Small	Republican	1921–1929
Fred Sterling	January 14, 1929	January 9, 1933	Louis L. Emmerson	Republican	1929–1933
Thomas Donovan	January 9, 1933	January 4, 1937	Henry Horner	Democratic	1933–1940
John H. Stelle	January 4, 1937	October 6, 1940 succeeded Horner	Henry Horner	Democratic	1933–1940
Office vacant	October 6, 1940	January 13, 1941	John H. Stelle	Democratic	1940–1941
Hugh W. Cross	January 13, 1941	January 10, 1949	Dwight H. Green	Republican	1941–1949
Sherwood Dixon	January 10, 1949	January 12, 1953	Adlai E. Stevenson II	Democratic	1949–1953
John William Chapman	January 12, 1953	January 9, 1961	William G. Stratton	Republican	1953–1961
Samuel H. Shapiro	January 9, 1961	May 21, 1968 succeeded Kerner	Otto Kerner, Jr.	Democratic	1961–1968
Office vacant	May 21, 1968	January 13, 1969	Samuel H. Shapiro	Democratic	1968–1969
Paul Simon	January 13, 1969	January 8, 1973	Richard Buell Ogilvie	Republican	1969–1973
Neil Hartigan	January 8, 1973	January 10, 1977	Daniel Walker	Democratic	1973–1977
Dave O'Neal	January 10, 1977	July 31, 1981 Resigned	James R. Thompson	Republican	1977–1991
Office vacant	July 31, 1981	January 10, 1983	James R. Thompson	Republican	1977–1991
George H. Ryan	January 10, 1983	January 14, 1991	James R. Thompson	Republican	1977–1991
Bob Kustra	January 14, 1991	July 1, 1998 Resigned	James Edgar	Republican	1991–1999
Office vacant	July 1, 1998	January 11, 1999	James Edgar	Republican	1991–1999
Corinne Wood	January 11, 1999	January 13, 2003	George H. Ryan	Republican	1999–2003
Pat Quinn	January 13, 2003	January 29, 2009 Succeeded Blagojevich	Rod R. Blagojevich	Democratic	2003–2009
Office vacant	January 29, 2009	January 9, 2011	Pat Quinn	Democratic	2009–2011
Sheila Simon	January 10, 2011	current	Pat Quinn	Democratic	2011–
