Player	Position	Date of Birth (Age)	Caps	Club/province
Petru Bălan	Prop	12 July 1976	53	Biarritz
Bogdan Bălan	Prop	11 February 1980	22	Montauban
Silviu Florea	Prop	19 July 1977	15	Béziers
Cezar Popescu	Prop	29 December 1976	32	Agen
Petrişor Toderasc	Prop	15 July 1980	46	Brive
Marius Tincu	Hooker	7 April 1978	30	Perpignan
Răzvan Mavrodin	Hooker	29 September 1973	46	Pau
Sorin Socol ( c )	Lock	30 November 1977	38	Pau
Cristian Petre	Lock	23 March 1979	56	Béziers
Valentin Ursache	Lock	12 August 1985	16	Arad
Augustin Petrechei	Lock	4 August 1980	19	Béziers
Ovidiu Toniţa ( vc )	Flanker	6 August 1980	37	Perpignan
Florin Corodeanu	Flanker	26 March 1977	50	Grenoble
Alexandru Manta	Flanker	7 June 1977	23	Castres
Alexandru Tudori	Flanker	11 October 1978	29	FC Dinamo Bucureşti
Cosmin Raţiu	Number 8	18 June 1979	16	FC Dinamo Bucureşti
Valentin Calafateanu	Scrum-half	25 January 1985	14	FC Dinamo Bucureşti
Lucian Sirbu	Scrum-half	16 October 1976	48	Béziers
Ionuţ Dimofte	Fly-half	30 September 1984	17	Arad
Dănuţ Dumbrava	Fly-half	6 August 1981	32	Steaua Bucharest
Romeo Gontineac	Centre	18 December 1973	71	Aurillac
Minya Csaba Gál	Centre	7 March 1985	10	U Cluj
Dan Vlad	Centre	12 July 1983	7	Steaua Bucharest
Ionuţ Tofan	Centre	8 March 1977	71	Limoges
Cătălin Fercu	Wing	5 September 1986	16	Arad
Ion Teodorescu	Wing	27 July 1976	41	Arad
Gabriel Brezoianu	Wing	18 January 1977	65	Bordeaux
Cătălin Nicolae	Wing	22 July 1980	4	Steaua Bucharest
Iulian Dumitraş	Fullback	22 June 1982	12	Pau
Florin Vlaicu	Fullback	26 July 1986	11	Steaua Bucharest
