Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	53	1:17:43.632	3
Jean Alesi	Benetton - Renault	53	+ 18.265	6
Mika Häkkinen	McLaren - Mercedes	53	+ 1:06.635	4
Martin Brundle	Jordan - Peugeot	53	+ 1:25.217	9
Rubens Barrichello	Jordan - Peugeot	53	+ 1:25.475	10
Pedro Diniz	Ligier - Mugen-Honda	52	+ 1 Lap	14
Jacques Villeneuve	Williams - Renault	52	+ 1 Lap	2
Jos Verstappen	Footwork - Hart	52	+ 1 Lap	15
Johnny Herbert	Sauber - Ford	51	Engine	12
Ukyo Katayama	Tyrrell - Yamaha	51	+ 2 Laps	16
Ricardo Rosset	Footwork - Hart	36	Spun off	19
Eddie Irvine	Ferrari	23	Spun off	7
Pedro Lamy	Minardi - Ford	12	Engine	18
Mika Salo	Tyrrell - Yamaha	9	Engine	17
Heinz-Harald Frentzen	Sauber - Ford	7	Spun off	13
Damon Hill	Williams - Renault	5	Spun off	1
Giovanni Lavaggi	Minardi - Ford	5	Engine	20
Gerhard Berger	Benetton - Renault	4	Hydraulics	8
Olivier Panis	Ligier - Mugen-Honda	2	Spun off	11
David Coulthard	McLaren - Mercedes	1	Spun Off	5
