Driver	Race 1	Race 2	Race 3	Race 4
Russell Ingall	1	1	1	1
John Bowe	3	2	2	2
Larry Perkins	12	4	4	3
Mark Skaife	2	3	3	4
Craig Lowndes	DNF	11	8	5
Glenn Seton	6	5	5	6
John Faulkner	9	8	11	7
Steven Richards	36	19	7	8
Dick Johnson	10	6	6	9
Greg Crick	DNF	15	12	10
Wayne Gardner	8	10	DNF	11
Tomas Mezera	17	DNF	17	12
Anthony Tratt	19	DNF	18	13
Rodney Forbes	20	16	DNF	14
Darren Hossack	14	13	DNF	15
Mal Rose	21	20	20	16
Ray Hislop	25	23	23	17
Mick Donaher	23	DNF	21	18
Wayne Russell	35	25	24	19
Steve Ellery	13	9	DNF	20
Neil Schembri	27	27	22	21
Garry Willmington	30	30	25	22
Mike Conway	34	DNF	DNF	23
D'arcy Russell	29	DNF	DNS	24
Mike Imrie	31	28	DNS	25
Barry Morcom	32	29	26	26
Mark Poole	16	12	DNF	27
Trevor Ashby	18	17	13	28
Paul Romano	DNF	DNS	16	DNF
Jason Bargwanna	7	7	DNS	DNF
John Cotter	28	DNF	DNS	DNF
Mark Larkham	11	14	9	DNF
Paul Weel	33	24	19	DNF
Wayne Park	DNF	21	15	DNF
Terry Finnigan	15	DNF	14	DNF
Tony Longhurst	4	DNF	10	DNS
Darren Pate	22	18	DNF	DNS
Kerryn Brewer	26	22	DNF	DNS
Danny Osborne	24	26	DNS	DNS
Jason Bright	5	DNF	DNS	DNS
