Metro Vincity	Venue Location	Address	Opened	Capacity
Greater Boston	Harvard Square	114 Mt Auburn St Cambridge, MA 02138	1992 (closed in 2003)	180
Greater Boston	Kenmore Square	15 Lansdowne St Boston, MA 02215	2009	2,425
Metropolitan Los Angeles	Sunset Strip	8430 Sunset Blvd West Hollywood, CA 90069	1994	1,100
Metropolitan Los Angeles	Downtown Disney	1530 Disneyland Dr Anaheim, CA 92802	2001	1,100
Greater New Orleans	French Quarter	225 Decatur St New Orleans, LA 70130	1994	843
Chicagoland	Marina City	329 N Dearborn St Chicago, IL 60654	1996	1,300
Myrtle Beach Metro Area	Barefoot Landing	4640 Hwy 17 S North Myrtle Beach, SC 29582	1997	2,000
Greater Orlando	Downtown Disney	1490 E Buena Vista Dr Lake Buena Vista, FL 32830	1997	2,100
Las Vegas Valley	Las Vegas Strip (inside Mandalay Bay )	3950 S Las Vegas Blvd Las Vegas, NV 89119	1999	2,000
Greater Cleveland	Downtown Cleveland	308 Euclid Ave Cleveland, OH 44114	2004	1,200
Atlantic City	Broadwalk	801 Boardwalk Atlantic City, NJ 08401	2005	2,300
Greater San Diego	Downtown San Diego	1055 5th Ave San Diego, CA 92101	2005	1,100
Dallas–Fort Worth metroplex	Victory Park	2200 N Lamar St Dallas, TX 75202	2007	1,650
Greater Houston	Downtown Houston	1204 Caroline St Houston, TX 77002	2008	1,500
