No	Origin City (Country)	Destination City (Country)	Train Name No	Operator Name	Distance	No. of Stops	Frequency	Scheduled running time
1	Moscow ( Russia )	Vladivostok ( Russia )	Rossiya 002	Russian Railways	9259km	67	Alternate days	178 hrs (~7 days)
2	Moscow ( Russia )	Beijing ( China ) via Harbin ( China )	Vostok 020Щ / 019Ч	Russian Railways / China Railways	8984km	44	Weekly	144 hrs (6 days)
4	Guangzhou ( China )	Lhasa ( China )	T264	China Railways	4980km	10	Daily	54 hrs 30 mins (~2 days)
5	Guangzhou ( China )	Urumqi ( China )	T38	China Railways	4684km	31	Daily	54 hrs 13 mins (~2 days)
6	Toronto ( Canada )	Vancouver ( Canada )	The Canadian 1 / 2	Via Rail	4466km	66	3-Weekly	86 h (3.5 days)
7	Harbin ( China )	Haikou ( China )	K1121	China Railways	4458km	52	Daily	65 hrs 42 mins (~3 days)
8	Shanghai ( China )	Lhasa ( China )	T164	China Railways	4373km	12	Daily	48 hrs 56 mins(2 days)
9	Sydney ( Australia )	Perth ( Australia )	The Indian Pacific	Great Southern Railway	4352km	26	Bi-Weekly	65 hrs(2.5 days+)
10	Dibrugarh ( India )	Kanniyakumari ( India )	Vivek Express / 15906	Indian Railways	4273km	55	Weekly	82 hrs 30 mins(3.5 days)
11	Hangzhou ( China )	Ürümqi ( China )	K1595	China Railways	4168km	34	Daily	55 hrs 50 mins
12	Changchun ( China )	Kunming ( China )	K2288	China Railways	4141km	57	Daily	68 hrs 33 mins (~3 days)
13	Shanghai ( China )	Urumqi ( China )	T52	China Railways	4077km	24	Daily	45 hrs 16 mins(2 days)
14	Emeryville ( USA )	Chicago ( USA )	California Zephyr /5	Amtrak	3924km	32	Daily	52hrs(2 days+)
15	Beijing ( China )	Lhasa ( China )	T27	China Railways	3753km	9	Daily	43 hrs 51 mins (~2 days)
16	Jammu ( India )	Kanyakumari ( India )	Himsagar Express /16318	Indian Railways	3715km	71	Weekly	70 hrs 15 mins (~3 days)
17	Harbin ( China )	Guangzhou ( China )	T238	China Railways	3647km	22	Daily	37 hrs 33 mins (~1.5 days)
18	Lianyungang ( China )	Urumqi ( China )	K1354	China Railways	3638km	36	Daily	48 hrs 37 mins (~2 days)
19	Mangalore ( India )	Jammu ( India )	Navyug Express /16687	Indian Railways	3609km	71	Weekly	68 hrs 5 mins (~3 days)
20	Yeswanthpur ( Bangalore )	Dibrugarh ( India )	DIBRUGARH Express/15901	Indian Railways	3578km	70	Weekly	68 hrs 15 mins (~3 days)
21	Tirunelveli ( India )	Jammu ( India )	TEN JAMMU Express/16787	Indian Railways	3561km	70	Biweekly	69 hrs 25 mins (~3 days)
22	Thiruvananthapuram ( India )	Guwahati ( India )	GUWAHATI Express/12515	Indian Railways	3552km	23	Weekly	65 hrs(~3 days)
23	Chongqing North ( China )	Harbin ( China )	K1061	China Railways	3524km	41	Daily	48 hrs 00 mins
24	Kochuveli ( India )	Dehradun ( India )	12287	Indian Railways	3459km	17	Weeklt	70 hrs
25	Ernakulam ( Kochi )	Barauni ( India )	RAPTISAGAR Express /12522	Indian Railways	3441km	61	Weekly	60 hrs 40 mins
26	Chandigarh ( India )	Kochuveli ( India )	Kerala Sampark Kranti Express /12218	Indian Railways	3415km	18	Weekly	53 hrs 50 mins
27	Guwahati ( India )	Ernakulam ( India )	Guwahati - Ernakulam Express/12508	Indian Railways	3337km	43	Weekly	59 hrs 45 mins
28	Moscow ( Russia )	Nice ( France )	017B / 018B	Russian Railways	3318km	24	Weekly	50 hrs (2 days)
29	Amritsar ( India )	Kochuveli ( India )	s/f Express/12484	Indian Railways	3296km	23	weekly	60 hrs 25 mins
30	Thiruvananthapuram ( India )	Gorakhpur ( India )	RAPTISAGAR Express /12512	Indian Railways	3251km	59	Triweekly	57 hrs 40 mins
31	Okha ( India )	Rameshwaram ( India )	Okha-Rameshwaram Express/16734	Indian Railways	3256km	39	weekly	65 hrs 00 mins
32	Okha ( India )	Guwahati ( India )	Dwarka Express/15635	Indian Railways	3215km	39	weekly	67 hrs 40 mins
33	Dehradun ( India )	Kochuveli ( India )	DDN KCVL S/F Express/12288	Indian Railways	3157km	25	Weekly	30 hrs 40 mins
34	Wenzhou ( China )	Harbin ( China )	K553	China Railways	3137km	43	Daily	42 hrs 56 mins
35	Beijing ( China )	Urumqi ( China )	T69	China Railways	3105km	20	Daily	33 hrs 51 mins
36	Madurai ( India )	Dehradun/Chandigarh ( India )	Kerala Express /12687/12687 slip	Indian Railways	3086/3081km	28/28	weekly	53 hrs 25 mins/53 hrs 5 min (~2.5 days)
36	Thiruvananthapuram ( India )	Newdelhi ( India )	Kerala Express /12625	Indian Railways	3035km	42	daily	50 hrs 25 mins (~3 days)
37	Thiruvananthapuram ( India )	Hazrat Nizamuddin ( India )	Nizamuddin Exprss /12643	Indian Railways	3014km	30	Weekly	50 hrs 45 mins (~3 days)
38	Kanyakumari ( India )	Hazrat Nizamuddin ( India )	Thirukural Express /12641	Indian Railways	2922km	23	Weekly	46 hrs 45 mins (~ days)
39	Rameswaram ( India )	Varanasi ( India )	RMM Varanasi Express /14259	Indian Railways	2796km	34	Weekly	51 hrs 40 Minutes (~3 days)
40	Tuticorin ( India )	Okha ( India )	Tuticorin Okha Vivek Express /19568	Indian Railways	2735km	38	Weekly	50 hrs 40 Minutes (~2 days)
41	Tirunelveli ( India )	Hapa ( India )	Hapa sup Express /12997	Indian Railways	2730km	26	Bi-Weekly	44 hrs (~2 days)
42	Bhavnagar ( India )	Kochuveli ( India )	BVC KCVL Exp /19260	Indian Railways	2569km	37	Sundays	45 hrs 35 Minutes (~2 days)
