Round	Choice	Overall	Player name	Position	College
1	27	27	Tommy Kramer	Quarterback	Rice
2	27	55	Dennis Swilley	Guard	Texas A&M
3	27	83	Tom Hannon	Linebacker	San Diego State
4	27	111	Traded to the Seattle Seahawks	Traded to the Seattle Seahawks	Traded to the Seattle Seahawks
5	26	138	Ken Moore	Tight End	Northern Illinois
6	27	166	Traded to the New England Patriots	Traded to the New England Patriots	Traded to the New England Patriots
7	27	194	Traded to the Cincinnati Bengals	Traded to the Cincinnati Bengals	Traded to the Cincinnati Bengals
8	27	222	Clint Strozier	Defensive Back	USC
9	27	250	Scott Studwell	Linebacker	Illinois
10	27	278	Dan Beaver	Kicker	Illinois
11	27	306	Keith Hartwig	Wide Receiver	Arizona
