Year	Theme	Artist	Composition	Mintage	Issue Price
2000	Year of the Dragon	Harvey Chan	75% gold, 25% silver	8,874	$388.88
2001	Year of the Snake	Harvey Chan	75% gold, 25% silver	6,571	$388.88
2002	Year of the Horse	Harvey Chan	75% gold, 25% silver	6,843	$388.88
2003	Year of the Goat	Harvey Chan	75% gold, 25% silver	3,927	$398.88
2004	Year of the Monkey	Harvey Chan	75% gold, 25% silver	3,318	$398.88
2005	Year of the Rooster	Harvey Chan	75% gold, 25% silver	4,888	$398.88
2006	Year of the Dog	Harvey Chan	75% gold, 25% silver	4,888	$448.88
2007	Year of the Pig	Harvey Chan	75% gold, 25% silver	4,888	$498.95
2008	Year of the Rat	Harvey Chan	75% gold, 25% silver	4,888	$508.95
2009	Year of the Ox	Harvey Chan	75% gold, 25% silver	4,888	$638.88
2010	Year of the Tiger	Harvey Chan	75% gold, 25% silver	4,888	$555.55
2011	Year of the Rabbit	Harvey Chan	75% gold, 25% silver	4,888	$638.88
