ACC Team	Big Ten Team	Location	Attendance	Winner	Challenge Leader
Virginia	Penn State	John Paul Jones Arena • Charlottesville, VA	8898	Penn State (69–66)	Big Ten (1–0)
Wake Forest	#4 Purdue	Mackey Arena • West Lafayette, IN	14123	Purdue (69–58)	Big Ten (2–0)
NC State	Northwestern	RBC Center • Raleigh, NC	11913	Northwestern (65–53)	Big Ten (3–0)
Maryland	Indiana	Assembly Hall • Bloomington, IN	17039	Maryland (80–68)	Big Ten (3–1)
#10 North Carolina	#9 Michigan State	Dean Smith Center • Chapel Hill, NC	21346	North Carolina (89–82)	Big Ten (3–2)
Virginia Tech	Iowa	Carver-Hawkeye Arena • Iowa City, IA	8755	Virginia Tech (70–64)	Tied (3–3)
#18 Clemson	Illinois	Littlejohn Coliseum • Clemson, SC	10000	Illinois (76–74)	Big Ten (4–3)
Miami	Minnesota	BankUnited Center • Coral Gables, FL	5157	Miami (63–58)	Tied (4–4)
Boston College	Michigan	Crisler Arena • Ann Arbor, MI	10718	Boston College (62–58)	ACC (5–4)
#6 Duke	Wisconsin	Kohl Center • Madison, WI	17230	Wisconsin (73–69)	Tied (5–5)
