Rider	Bike	Laps	Time	Grid
Lorenzo Lanzi	Ducati 1098 RS 08	23	37:01.894	5
Troy Bayliss	Ducati 1098 F08	23	+2.987	3
Troy Corser	Yamaha YZF-R1	23	+7.287	8
Fonsi Nieto	Suzuki GSX-R1000	23	+11.992	13
Carlos Checa	Honda CBR1000RR	23	+12.824	7
Karl Muggeridge	Honda CBR1000RR	23	+13.125	19
Gregorio Lavilla	Honda CBR1000RR	23	+13.191	17
Régis Laconi	Kawasaki ZX-10R	23	+13.906	15
Makoto Tamada	Kawasaki ZX-10R	23	+17.254	12
Roberto Rolfo	Honda CBR1000RR	23	+18.606	18
Shinichi Nakatomi	Yamaha YZF-R1	23	+19.858	21
Kenan Sofuoğlu	Honda CBR1000RR	23	+23.350	24
Russell Holland	Honda CBR1000RR	23	+23.577	20
Jakub Smrž	Ducati 1098 RS 08	23	+24.082	16
David Checa	Yamaha YZF-R1	23	+26.611	14
Max Biaggi	Ducati 1098 RS 08	23	+41.168	9
Ayrton Badovini	Kawasaki ZX-10R	23	+44.405	27
Luca Morelli	Honda CBR1000RR	23	+57.045	29
Diego Lozano Ortiz	Honda CBR1000RR	23	+1'05.173	26
Loïc Napoleone	Yamaha YZF-R1	18	+5 Laps	30
Max Neukirchner	Suzuki GSX-R1000	22	Accident	1
Rubén Xaus	Ducati 1098 RS 08	10	Retirement	4
Ryuichi Kiyonari	Honda CBR1000RR	9	Retirement	6
Michel Fabrizio	Ducati 1098 F08	4	Accident	11
Noriyuki Haga	Yamaha YZF-R1	3	Accident	10
Yukio Kagayama	Suzuki GSX-R1000	3	Accident	2
Carmelo Morales	Yamaha YZF-R1	3	Accident	25
Sébastien Gimbert	Yamaha YZF-R1	1	Accident	22
Sergio Fuertes	Suzuki GSX-R1000	1	Accident	23
Shuhei Aoyama	Honda CBR1000RR	1	Accident	28
