Name	Total	Outstanding Performance	Fighting Spirit	Technique	Years	Highest rank
Akinoshima	19	7	8	4	1988-99	Sekiwake
Kotonishiki	18	7	3	8	1990-98	Sekiwake
Kaiō	15	10	5	0	1994-2000	Ōzeki
Tsurugamine	14	2	2	10	1956-66	Sekiwake
Asashio	14	10	3	1	1979-83	Ōzeki
Takatōriki	14	3	10	1	1990-2000	Sekiwake
Musōyama	13	5	4	4	1994-2000	Ōzeki
Tosanoumi	13	7	5	1	1995-2003	Sekiwake
Kotomitsuki	13	2	4	7	2000-07	Ōzeki
Tochiazuma II	12	3	2	7	1996-2001	Ōzeki
Takamiyama	11	6	5	0	1968-81	Sekiwake
Daiju	11	4	1	6	1970-73	Ōzeki
Kirinji	11	4	4	3	1975-88	Sekiwake
Hoshi	11	3	3	5	1983-86	Yokozuna
