Round	Pick	Name	Position	College
1	14	Willie Scott	Tight end	South Carolina
2	41	Joe Delaney	Running back	Northwestern State
3	70	Marvin Harvey	Tight end	Southern Mississippi
3	75	Roger Taylor	Tackle	Oklahoma State
3	78	Lloyd Burruss	Defensive back	Maryland
4	97	Ron Washington	Wide receiver	Arizona State
5	124	Todd Thomas	Center	North Dakota
6	153	Dock Luckie	Tackle	Florida
7	180	Billy Jackson	Running back	Alabama
8	206	David Dorn	Wide receiver	Rutgers
9	237	Anthony Vereen	Defensive back	Southeastern Louisiana
10	262	Les Studdard	Center	Texas
11	289	Frank Case	Defensive end	Penn State
12	319	Bob Gagliano	Quarterback	Utah State
