Date	Presenter	Guest 1	Guest 2	Guest 3	Guest 4
18 August	Colin Murray	John Rawling	Neil Delamere	Greg Brady	Clarke Carlisle (debut)
25 August	Gabby Logan	Des Kelly	Dougie Anderson	Paul Sinha	Dietmar Hamann
1 September	Colin Murray	Brian Reade	Simon Day	Martin Kelner	Etienne Stott (debut)
8 September	Colin Murray	Tom Watt	Ian Moore	Gary Gillespie	Charlie Baker (debut)
15 September	Colin Murray	Des Kelly	Andy Dunn	Justin Moorhouse	Ed Clancy (debut)
22 September	Colin Murray	Jim Smallman	Martin Kelner	Greg Brady	Robbie Savage
29 September	Colin Murray	Henning Wehn	John Rawling	Katharine Merry	Bob Mills
6 October	Colin Murray	Dougie Anderson	Neil Delamere	Richard Osman (debut)	Dominic Cork
13 October Live from The Crucible , Sheffield	Colin Murray	John Rawling	Simon Day	Des Kelly	Martin Kelner
20 October	Colin Murray	Jim White	Tom Watt	Chris Martin (debut)	Phil Brown
27 October	Colin Murray	Greg Brady	Gail Emms	Andy Dunn	Justin Moorhouse
3 November	Colin Murray	Sara Winterburn (debut)	Dougie Anderson	Dietmar Hamann	Ian Stone
10 November	Colin Murray	Jennie Gow (debut)	Steve Bunce	John Rawling	Henning Wehn
17 November	Colin Murray	Adam Richman (debut)	Mark Watson	Neil Delamere	Martin Kelner
24 November	Colin Murray	Des Kelly	Katharine Merry	Andy Dunn	Bob Mills
1 December	Colin Murray	Dougie Anderson	Paul McVeigh	Eddie Kadi	Greg Brady
8 December	Colin Murray	John Rawling	Brian Reade	Gary Gillespie	Ian Stone
15 December	Colin Murray	Tom Watt	Martin Kelner	Ian Moore	Dietmar Hamann
22 December	Colin Murray	Jim White	Charlie Baker	Richard Osman	Phil Brown
29 December Review of 2012	Colin Murray	Bob Mills	Martin Kelner	Tom Watt	Greg Brady
5 January	Nick Hancock	Steve Bunce	Perry Groves	Justin Moorhouse	Katharine Merry
12 January	Christian O'Connell	Greg Brady	Andy Parsons	Dougie Anderson	John Rawling
19 January	Colin Murray	Eleanor Oldroyd	Kit Symons	Andy Dunn	Simon Day
26 January	Colin Murray	Richard Osman	Martin Kelner	Phil Brown	Kevin Bridges
2 February	Colin Murray	John Rawling	Brian Noble (debut)	Greg Brady	Carl Donnelly (debut)
9 February	Colin Murray	Danny Mills	Bob Mills	Brian Reade	Tom Watt
16 February	Greg James (debut)	Dougie Anderson	Justin Moorhouse	Darren Fletcher	Matthew Hoggard (debut)
23 February	Colin Murray	Kevin Kilbane (debut)	Jim White	Charlie Baker	Martin Kelner
2 March	Colin Murray	John Rawling	Gail Emms	Andy Dunn	Eddie Kadi
9 March Ladies special	Colin Murray	Eleanor Oldroyd	Katharine Merry	Jennie Gow	Kelly Sotherton (debut)
16 March	Colin Murray	Dougie Anderson	Steve Lamacq	Paul Sinha	Phil Brown
23 March	Nick Hancock	Martin Kelner	Christian Malcolm	Ian Stone	Greg Brady
30 March	Colin Murray	Bob Mills	John Rawling	Cornelius Lysaght	Louise Hazel (debut)
6 April	Colin Murray	Tom Watt	Brian Noble	Richard Osman	Chris Martin
13 April	Colin Murray	Rebecca Adlington (debut)	Will Buckley	Martin Kelner	Neil Delamere
20 April	Colin Murray	Henning Wehn	Dougie Anderson	Eleanor Oldroyd	Nathan Caton (debut)
27 April Food special	Colin Murray	Simon Rimmer (debut)	Sean Wilson (debut)	Danny Mills	Justin Moorhouse
4 May	Colin Murray	John Rawling	Iyare Igiehon	Brian Reade	Ian Moore
11 May	Colin Murray	Katharine Merry	Greg Brady	Darren Fletcher	Jim Smallman
18 May	Colin Murray	Louise Hazel	Ian Stone	Tom Watt	Dougie Anderson
