Stage	Winner	General classification	Points classification	Mountains classification	Young rider classification	Team classification	Combativity award
1	David Millar	David Millar	David Millar	Marcel Wüst	David Millar	US Postal	N/A
2	Tom Steels	David Millar	Tom Steels	Marcel Wüst	David Millar	US Postal	Erik Dekker
3	Tom Steels	David Millar	Tom Steels	Marcel Wüst	David Millar	US Postal	Jens Voigt
4	ONCE	Laurent Jalabert	Tom Steels	Marcel Wüst	David Cañada	ONCE	N/A
5	Marcel Wüst	Laurent Jalabert	Tom Steels	Paolo Bettini	David Cañada	ONCE	Erik Dekker
6	Leon van Bon	Alberto Elli	Tom Steels	Paolo Bettini	Salvatore Commesso	Rabobank	Jacky Durand
7	Christophe Agnolutto	Alberto Elli	Marcel Wüst	Paolo Bettini	Salvatore Commesso	Rabobank	Christophe Agnolutto
8	Erik Dekker	Alberto Elli	Marcel Wüst	Erik Dekker	Salvatore Commesso	Rabobank	Erik Dekker
9	Paolo Bettini	Alberto Elli	Erik Zabel	Erik Dekker	Salvatore Commesso	Rabobank	Paolo Bettini
10	Javier Otxoa	Lance Armstrong	Erik Zabel	Javier Otxoa	Francisco Mancebo	Rabobank	Javier Otxoa
11	Erik Dekker	Lance Armstrong	Erik Zabel	Javier Otxoa	Francisco Mancebo	Rabobank	Santiago Botero
12	Marco Pantani	Lance Armstrong	Erik Zabel	Javier Otxoa	Francisco Mancebo	Banesto	Christophe Agnolutto
13	José Vicente García	Lance Armstrong	Erik Zabel	Javier Otxoa	Francisco Mancebo	Banesto	Didier Rous
14	Santiago Botero	Lance Armstrong	Erik Zabel	Santiago Botero	Francisco Mancebo	Banesto	Santiago Botero
15	Marco Pantani	Lance Armstrong	Erik Zabel	Santiago Botero	Francisco Mancebo	Banesto	Santiago Botero
16	Richard Virenque	Lance Armstrong	Erik Zabel	Santiago Botero	Francisco Mancebo	Kelme-Costa Blanca	Marco Pantani
17	Erik Dekker	Lance Armstrong	Erik Zabel	Santiago Botero	Francisco Mancebo	Kelme-Costa Blanca	Massimiliano Lelli
18	Salvatore Commesso	Lance Armstrong	Erik Zabel	Santiago Botero	Francisco Mancebo	Kelme-Costa Blanca	Jacky Durand
19	Lance Armstrong	Lance Armstrong	Erik Zabel	Santiago Botero	Francisco Mancebo	Kelme-Costa Blanca	N/A
20	Erik Zabel	Lance Armstrong	Erik Zabel	Santiago Botero	Francisco Mancebo	Kelme-Costa Blanca	François Simon
21	Stefano Zanini	Lance Armstrong	Erik Zabel	Santiago Botero	Francisco Mancebo	Kelme-Costa Blanca	Massimo Apollonio
