Position	Team	Points	Played	Drawn	Lost	Against	Difference
1	Coritiba	69	38	6	11	41	13
2	Ipatinga	67	38	7	11	41	19
3	Portuguesa	63	38	12	9	46	17
4	Vitória	59	38	5	15	50	18
5	Fortaleza	56	38	5	16	46	5
6	Marília	53	38	8	13	61	5
7	Criciúma	53	38	8	16	44	7
8	CRB	53	38	8	15	62	- 8
9	Brasiliense	53	38	11	13	53	4
10	São Caetano	53	38	14	11	39	6
11	Ponte Preta	52	38	13	12	55	3
12	Gama	51	38	9	15	56	- 3
13	Barueri	51	38	9	15	71	- 14
14	Santo André	51	38	12	13	50	1
15	Avaí	51	38	12	13	55	- 3
16	Ceará	50	38	11	14	58	0
17	Paulista	45	38	10	17	61	- 3
18	Santa Cruz	42	38	12	16	65	- 18
19	Remo	36	38	6	22	69	- 16
20	Ituano	33	38	9	21	74	- 33
