Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus
Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus
Pwllheli RFC	14	0	1	623	133	101	13	14
Bro Ffestiniog RFC	14	0	3	452	155	67	25	8
Bethesda RFC	14	0	5	373	202	56	30	8
Caereinion OBRA	14	0	5	254	253	36	38	4
Machynlleth RFC	14	0	6	283	329	39	48	4
Rhyl and District RFC	14	0	11	184	484	31	77	3
Welshpool RFC	14	0	11	205	397	25	60	2
Rhosllanerchrugog RFC	14	0	14	142	563	24	88	1
Bangor RFC '*'	0	0	0	0	0	0	0	0
Rhayader RFC	0	0	0	0	0	0	0	0
Wrexham RFC	0	0	0	0	0	0	0	0
Correct as of 00:00 13 June 2008	Correct as of 00:00 13 June 2008	Correct as of 00:00 13 June 2008	Correct as of 00:00 13 June 2008	Correct as of 00:00 13 June 2008	Correct as of 00:00 13 June 2008	Correct as of 00:00 13 June 2008	Correct as of 00:00 13 June 2008	Correct as of 00:00 13 June 2008
