Date	Visitor	Score	Home	Decision	Attendance	Record
October 6	St. Louis	5 – 3	Los Angeles	Bernier	18,118	1–2–0
October 10	Los Angeles	1 – 5	Dallas	LaBarbera	16,129	1–3–0
October 12	Boston	8 – 6	Los Angeles	Bernier	17,064	1–4–0
October 14	Detroit	4 – 1	Los Angeles	Bernier	17,215	1–5–0
October 16	Minnesota	3 – 4	Los Angeles	Aubin	14,239	2–5–0
October 18	Los Angeles	3 – 4	Calgary	Aubin	19,289	2–6–0
October 19	Los Angeles	4 – 2	Vancouver	LaBarbera	18,630	3–6–0
October 23	Nashville	0 – 6	Los Angeles	LaBarbera	14,026	4–6–0
October 25	Dallas	1 – 2	Los Angeles	LaBarbera	14,559	5–6–0
October 27	Edmonton	1 – 4	Los Angeles	LaBarbera	16,173	6–6–0
October 31	Columbus	4 – 1	Los Angeles	LaBarbera	11,491	6–7–0
