Round	Pick #	Overall	Name	Position	College
2	13	40	Shane Curry	Defensive End	Miami (FL)
3	14	69	Dave McCloughan	Defensive Back	Colorado
4	13	96	Mark Vander Poel	Offensive Tackle	Colorado
5	14	125	Kerry Cash	Tight End	Texas
6	13	152	Mel Agee	Defensive Tackle	Illinois
7	14	181	James Bradley	Wide Receiver	Michigan State
8	13	208	Tim Bruton	Tight End	Missouri
9	13	236	Howard Griffith	Fullback	Illinois
10	13	263	Frank Giannetti	Defensive End	Penn State
11	14	292	Jerry Crafts	Offensive Tackle	Louisville
12	13	319	Rob Luedeke	Center	Penn State
