Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Baden	Ward	35	34.753	0.940	48.588295	-102.048091	3810104140	01759673
Badger	LaMoure	52	35.789	0.305	46.319180	-98.463236	3804504180	01036889
Baer	Hettinger	26	32.258	0.085	46.241797	-102.054774	3804104220	01037238
Baker	Kidder	39	39.296	0.639	46.683058	-100.008913	3804304300	01759467
Baldwin	Barnes	33	35.480	0.776	47.200318	-97.892007	3800304340	01036436
Bale	Ransom	83	35.995	0.020	46.318753	-97.710796	3807304420	01036862
Balfour	McHenry	38	35.017	0.670	47.965278	-100.510672	3804904500	02397769
Ball Hill	Griggs	55	36.494	0.000	47.370002	-98.178896	3803904540	01036633
Balta	Pierce	20	33.954	1.729	48.145945	-100.030308	3806904620	02397770
Banner	Cavalier	29	29.072	0.829	48.580184	-98.785942	3801904660	01759350
Banner	Mountrail	34	35.789	0.032	47.883851	-102.054248	3806104700	01037017
Bantry	McHenry	36	35.700	0.086	48.509058	-100.592261	3804904780	02397771
Barnes	Cass	25	0.966	0.026	46.868649	-96.923421	3801704900	01036359
Barney	Richland	134	35.382	0.000	46.239252	-96.947979	3807704980	01036831
Barr Butte	Williams	11	35.684	0.127	48.583109	-103.852639	3810505020	01036922
Barrie	Richland	191	35.180	0.004	46.586143	-97.103449	3807705060	01036855
Bartlett	Ramsey	71	34.693	1.305	48.064990	-98.486913	3807105140	01759565
Bartley	Griggs	25	34.319	0.559	47.282086	-98.278087	3803905180	01036635
Bathgate	Pembina	72	26.515	0.000	48.858375	-97.491010	3806705300	01036727
Battleview	Burke	80	35.585	0.290	48.595501	-102.824470	3801305380	01037111
Beach	Golden Valley	157	104.911	0.097	46.892458	-103.954824	3803305460	01037079
Bear Creek	Dickey	183	30.007	0.105	46.156543	-98.054236	3802105500	01036764
Beaulieu	Pembina	155	35.955	0.081	48.754743	-97.893444	3806705580	01036733
Beaver	Benson	25	32.926	2.865	48.239213	-99.520142	3800505620	01759237
Beaver Creek	Steele	77	34.703	0.921	47.623288	-97.654565	3809105660	01036672
Beery	Hettinger	30	35.256	0.201	46.413697	-102.226445	3804105680	01759446
