Seed	Rank	Player	Points	Points defending	Points won	New points	Status
1	2	Caroline Wozniacki	6410	1400	900	5910	Semifinals lost to Vera Zvonareva [7]
3	4	Venus Williams	5176	280	900	5796	Semifinals lost to Kim Clijsters [2]
4	5	Jelena Janković	5145	100	160	5205	3rd round lost to Kaia Kanepi [31]
5	6	Samantha Stosur	4550	100	500	4950	Quarterfinals lost to Kim Clijsters [2]
6	7	Francesca Schiavone	4450	280	500	4670	Quarterfinals lost to Venus Williams [3]
8	9	Li Na	4015	500	5	3520	1st round lost to Kateryna Bondarenko
9	10	Agnieszka Radwańska	3995	100	100	3995	2nd round lost to Peng Shuai
10	11	Victoria Azarenka	3775	160	100	3715	2nd round retired to Gisela Dulko
11	12	Svetlana Kuznetsova	3516	280	280	3516	4th round lost to Dominika Cibulková
12	13	Elena Dementieva	3765	100	280	3945	4th round lost to Samantha Stosur [5]
13	15	Marion Bartoli	3455	100	100	3455	2nd round lost to Virginie Razzano
14	16	Maria Sharapova	3330	160	280	3450	4th round lost to Caroline Wozniacki [1]
15	17	Yanina Wickmayer	3310	900	280	2690	4th round lost to Kaia Kanepi [31]
16	18	Shahar Pe'er	3175	160	280	3295	4th round lost to Venus Williams [3]
17	19	Nadia Petrova	3345	280	5	3070	1st round lost to Andrea Petkovic
18	20	Aravane Rezaï	3005	5	100	3100	2nd round lost to Beatrice Capra [WC]
19	21	Flavia Pennetta	2905	500	160	2565	3rd round lost to Shahar Pe'er [16]
20	22	Anastasia Pavlyuchenkova	2505	5	280	2780	4th round lost to Francesca Schiavone [6]
21	23	Zheng Jie	2351	160	100	2291	2nd round lost to Ana Ivanovic
22	24	María José Martínez Sánchez	2285	160	100	2225	2nd round lost to Patty Schnyder
23	25	Maria Kirilenko	2275	160	160	2275	3rd round lost to Svetlana Kuznetsova [11]
24	26	Daniela Hantuchová	2045	280	160	1925	3rd round lost to Elena Dementieva [12]
25	27	Alexandra Dulgheru	2005	5	160	2160	3rd round lost to Vera Zvonareva [7]
26	28	Lucie Šafářová	1975	5	5	1975	1st round lost to Tamira Paszek [Q]
27	29	Petra Kvitová	1869	280	160	1749	3rd round lost to Kim Clijsters [2]
28	30	Alisa Kleybanova	1840	5	100	1935	2nd round lost to Sara Errani
29	31	Alona Bondarenko	1723	100	160	1783	3rd round lost to Francesca Schiavone [6]
30	32	Yaroslava Shvedova	1770	160	5	1615	1st round lost to Lourdes Domínguez Lino [Q]
31	33	Kaia Kanepi	1725	5	500	2220	Quarterfinals lost to Vera Zvonareva [7]
