Air date	Reward	Immunity	Eliminated	Vote	Finish
13 September 1997	North Team	North Team	Sinisa	4-2-1-1	1st Voted Out Day 4
13 September 1997	Both Teams	South Team	Anna	4-3-1	2nd Voted Out Day 8
4 October 1997	North Team	South Team	Peter	5-2	3rd Voted Out Day 12
11 October 1997	North Team	South Team	Suzanne	5-1	4th Voted Out Day ?
18 October 1997	South Team	South Team	Zai	3-2	5th Voted Out Day ?
25 October 1997	South Team	North Team	Camilla	5-2	6th Voted Out Day ?
1 November 1997	None	Kent	Christin	No Vote	Evacuated 1st Jury Member Day 21
8 November 1997	Åsa	Kent (Jürgen)	Johan	8-1	7th Voted Out 2nd Jury Member Day ?
15 November 1997	Jürgen	Ola	Erika	4-4	8th Voted Out 3rd Jury Member Day 30
22 November 1997	Ola, [Åsa]	Åsa	Jürgen	4-3	9th Voted Out 4th Jury Member Day 35
29 November 1997	Martin	Ola	Marie-Louise	5-1	10th Voted Out 5th Jury Member Day 38
6 December 1997	Åsa, [Martin]	Martin	Markus	3-2	11th Voted Out 6th Jury Member Day 41
13 December 1997	None	Martin	Åsa	1-0	12th Voted Out 7th Jury Member Day 44
13 December 1997	None	Martin	Ola	1-0	13th Voted Out 8th Jury Member Day 46
13 December 1997	Jury Vote	Jury Vote	Kent	6-2	Runner-Up
