Res.	Record	Opponent	Method	Event	Round	Location
Win	12-4	Nikolay Osokin	KO (liver kick)	Draka 2013	1	Vladivostok , Russia
Loss	11-4	Jan Błachowicz	Decision (unanimous)	KSW 22	3	Warsaw , Poland
Win	11-3	Gadji Magomedov	Decision (unanimous)	Draka 8	4	Nakhodka , Russia
Win	10-3	Rogent Lloret	TKO (punches)	S&HC 5	1	Geneva , Switzerland
Win	9-3	Goran Scepanovic	TKO (punches)	Bilic-Eric Security Fight Night 6	1	Zagreb , Croatia
Loss	8-3	Krzysztof Soszynski	Decision (unanimous)	UFC 122	3	Oberhausen , Germany
Loss	8-2	Kendall Grove	Decision (split)	UFC 116	3	Nevada , United States
Loss	8-1	C.B. Dollaway	Decision (unanimous)	UFC 110	3	Sydney , Australia
Win	8–0	Wilson Gouveia	TKO (punches)	UFC 84	2	Nevada , United States
Win	7–0	Waldemar Golinski	Decision (unanimous)	BE 2 - Boxing Explosion 2	2	Celje , Slovenia
Win	6–0	Tomek Smykowski	Submission (armbar)	CF - The Real Deal	1	Maribor , Slovenia
Win	5–0	Petr Kelner	Submission (armbar)	Ultimate Fight - Challenge 1	2	Samobor , Croatia
Win	4–0	Bojan Mihajlovic	Submission ( kimura )	NS 3 - Noc Skorpiona 3	1	Šibenik , Croatia
Win	3–0	Nenad Djuric	TKO (punches)	NS 1 - Noc Skorpiona 1	2	Zadar , Croatia
Win	2–0	Andrej Bregar	Submission ( arm triangle choke )	Trboulje 1 - Croatia vs. Slovenia	1	Ljubljana , Slovenia
Win	1–0	Bojan Spalevic	Submission ( armbar )	UFD - Ultimate Fight Dubravc	1	Zagreb , Croatia
