Draw	Artist	Song	Points	Place
1	Eldin Huseinbegović	"Volio obolio"	13	13
2	Beat House	"Kunem te ja"	39	6
3	Krug	"U ritmu novom"	33	8
4	Seven Up	"Daj spusti se"	58	3
5	Dražen Žerić	"Proveo bi život ispod mostova"	16	12
6	Dunja Galineo & Nurudin Vatrenjak	"Budi tu"	0	17
7	Sarajevo Old Stars	"Šampion"	51	4
8	Zejnaida Mesihović	"Dala bih ti život"	38	7
9	Željka Katavić-Pilj	"Bog mi je svjedok"	40	5
10	Sanja Volić	"Jedini, ljubim te"	10	14
11	Seid Memić-Vajta	"Stare melodije"	19	11
12	Elvana Dučić	"Priznat ću ti sve"	7	16
13	Hari Mata Hari	"Starac i more"	70	1
14	Dino & Béatrice	"Putnici"	65	2
15	Igor	"Glumica"	28	9
16	Sarajevska Ruža	"Želja"	10	14
17	Andrej i Romana	"Ostavi suze"	25	10
