Tie no	Home team	Score	Away team	Date
1	Bristol City	2–1	Blackburn Rovers	6 January 1951
2	Rochdale	2–3	Chelsea	9 January 1951
3	Leicester City	0–3	Preston North End	6 January 1951
4	Notts County	3–4	Southampton	6 January 1951
5	Aston Villa	2–0	Burnley	6 January 1951
6	Bolton Wanderers	2–0	York City	6 January 1951
7	Grimsby Town	3–3	Exeter City	6 January 1951
Replay	Exeter City	4–2	Grimsby Town	10 January 1951
8	Sunderland	2–0	Coventry City	6 January 1951
9	Derby County	2–2	West Bromwich Albion	6 January 1951
Replay	West Bromwich Albion	0–1	Derby County	10 January 1951
10	Luton Town	2–0	Portsmouth	6 January 1951
11	Sheffield United	1–0	Gateshead	6 January 1951
12	Stockport County	2–1	Brentford	6 January 1951
13	Newcastle United	4–1	Bury	6 January 1951
14	Queens Park Rangers	3–4	Millwall	6 January 1951
15	Fulham	1–0	Sheffield Wednesday	6 January 1951
16	Bristol Rovers	5–1	Aldershot	10 January 1951
17	Northampton Town	3–1	Barnsley	6 January 1951
18	West Ham United	2–1	Cardiff City	6 January 1951
19	Brighton & Hove Albion	2–1	Chesterfield	6 January 1951
20	Manchester United	4–1	Oldham Athletic	6 January 1951
21	Norwich City	3–1	Liverpool	6 January 1951
22	Plymouth Argyle	1–2	Wolverhampton Wanderers	6 January 1951
23	Hull City	2–0	Everton	6 January 1951
24	Huddersfield Town	2–0	Tottenham Hotspur	6 January 1951
25	Mansfield Town	2–0	Swansea Town	6 January 1951
26	Newport County	3–2	Reading	6 January 1951
27	Charlton Athletic	2–2	Blackpool	6 January 1951
Replay	Blackpool	3–0	Charlton Athletic	10 January 1951
28	Arsenal	0–0	Carlisle United	6 January 1951
Replay	Carlisle United	1–4	Arsenal	11 January 1951
29	Leeds United	1–0	Middlesbrough	6 January 1951
30	Stoke City	2–2	Port Vale	6 January 1951
Replay	Port Vale	0–1	Stoke City	8 January 1951
31	Rotherham United	2–1	Doncaster Rovers	6 January 1951
32	Birmingham City	2–0	Manchester City	6 January 1951
