State	Preliminary Average	Swimsuit	Interview	Evening Gown	Semifinal Average
Kansas	9.26 (2)	9.298 (8)	9.580 (4)	9.594 (3)	9.490 (3)
Maine	9.18 (6)	9.650 (1)	9.619 (3)	9.661 (2)	9.643 (1)
Utah	9.16 (8)	9.246 (12)	9.663 (1)	9.371 (10)	9.427 (5)
Tennessee	9.25 (3)	9.413 (3)	9.659 (2)	9.685 (1)	9.585 (2)
Illinois	9.23 (4)	9.250 (11)	9.475 (5)	9.508 (5)	9.411 (6)
Delaware	9.03 (12)	9.324 (7)	9.438 (7)	9.546 (4)	9.436 (4)
Iowa	9.18 (6)	9.263 (9)	9.475 (5)	9.486 (7)	9.408 (7)
Kentucky	9.07 (9)	9.406 (4)	9.288 (8)	9.506 (6)	9.400 (8)
Minnesota	9.04 (10)	9.575 (2)	9.225 (10)	9.350 (11)	9.383 (9)
Florida	9.27 (1)	9.386 (5)	9.233 (9)	9.480 (8)	9.366 (10)
California	9.04 (10)	9.369 (6)	9.180 (11)	9.431 (9)	9.327 (11)
Missouri	9.19 (5)	9.256 (10)	9.009 (12)	9.065 (12)	9.110 (12)
