Rank	Nation	Gold	Silver	Bronze	Total
1	China (CHN)	7	3	3	13
2	South Korea (KOR)	5	4	2	11
3	Germany (GER)	4	2	3	9
4	France (FRA)	3	6	5	14
5	Slovakia (SVK)	2	1	3	6
6	Belgium (BEL)	2	1	0	3
7	Czech Republic (CZE)	1	2	0	3
7	Poland (POL)	1	2	0	3
9	Austria (AUT)	1	1	0	2
10	Netherlands (NED)	1	0	0	1
10	Slovenia (SLO)	1	0	0	1
12	Sweden (SWE)	0	2	2	4
13	Chinese Taipei (TPE)	0	1	2	3
14	Great Britain (GBR)	0	1	1	2
15	Italy (ITA)	0	1	0	1
16	Denmark (DEN)	0	0	1	1
17	Jordan (JOR)	0	0	1	1
18	Russia (RUS)	0	0	1	1
19	Serbia and Montenegro (SCG)	0	0	1	1
20	Spain (ESP)	0	0	1	1
21	United States (USA)	0	0	1	1
