Rank	Name	Begin Date	End Date	Notes
Lieutenant colonel	Ramsay D. Potts Ramsay D. Potts	1904-02-22 22 February 1904	1906-08-11 11 August 1906	a[› ]
Lieutenant colonel	George F. E. Harrison George F. E. Harrison	1906-10-24 24 October 1906	1909-1-14 14 January 1909	a[› ]
Lieutenant colonel	Clarence P. Townsley Clarence Page Townsley	1909-02-06 06-February-1909	1911-09-07 7 September 1911	a[› ]
Lieutenant colonel	Frederick S. Strong Frederick S. Strong	1911-09-08 8 September 1911	1913-02-27 27 February 1913	a[› ]
Colonel	Ira A. Haynes Ira A. Haynes	1913-02-18 18 February 1913	1916-10-16 16 October 1916	a[› ]
Colonel	Stephen M. Foote Stephen M. Foote	1916-10-01 1 October 1916	1917-08-23 23 August 1917	a[› ]
Colonel	John A. Lundeen John A. Lundeen	1917-08-23 23 August 1917	1918-03-30 30 March 1918	a[› ]
Colonel	Frank K. Fergusson Frank K. Fergusson	1918-03-30 30 March 1918	1918-09-11 11 September 1918	a[› ]
Colonel	Robert R. Welshimer Robert R. Welshimer	1918-09-08 08 September 1918	1919-01-29 29 January 1919	a[› ]
Colonel	Eugene Reybold Eugene Reybold	1919-01-29 29 January 1919	1920-01-19 19 January 1920	a[› ]
Colonel	Jacob C. Johnson Jacob C. Johnson	1920-01-19 19 January 1920	1920-11-03 03 November 1920	a[› ]
Colonel	Richmond P. Davis Richmond P. Davis	1921-04-28 28 April 1921	1922-12-28 28 December 1922	a[› ]
Brigadier General	William Ruthven Smith William Ruthven Smith	1923-01-11 11 January 1923	1924-12-20 20 December 1924	a[› ]
Brigadier General	Robert Emmet Callan Robert Emmet Callan	1924-12-20 20 December 1924	1929-06-03 03 June 1929	a[› ]
Brigadier General	Henry D. Todd Henry D. Todd	1929-08-28 28 August 1929	1930-08-31 31 August 1930	a[› ]
Brigadier General	Stanley Dunbar Embick Stanley Dunbar Embick	1930-10-01 1 October 1930	1932-04-25 25 April 1932	a[› ]
Brigadier General	Joseph P. Tracy Joseph P. Tracy	1932-08-31 31 August 1932	1936-12-01 1 December 1936	a[› ]
Brigadier General	John W, Gulick John W. Gulick	1937-01-03 3 January 1937	1938-10-12 12 October 1938	a[› ]
Brigadier General	Frederick H. Smith Frederick H. Smith	1938-11-21 21 November 1938	1940-10-01 1 October 1940	a[› ]
Brigadier General	Frank S. Clark Frank S. Clark	1940-10-10 10 October 1940	1942-01-15 15 January 1942	a[› ]
Brigadier General	Lawrence B. Weeks Lawrence B. Weeks	1943-02-18 15 January 1942	19445-10-01 1 October 1945	a[› ]
Brigadier General	Robert T. Frederick Robert T. Frederick	1945-11-01 1 November 1945	1947-08-19 19 August 1947	a[› ]
