Television service	Country	Language	Content	HDTV	Package/Option
Vetrina Primafila	Italy	Italian	presentazione	no	qualsiasi
Sky Primafila 1 HD	Italy	Italian	Primafila Film	yes	qualsiasi + Sky HD
Sky Primafila 2	Italy	Italian	Primafila Film	no	qualsiasi
Sky Primafila 3 HD	Italy	Italian	Primafila Film	yes	qualsiasi + Sky HD
Sky Primafila 4	Italy	Italian	Primafila Film	no	qualsiasi
Sky Primafila 5 HD	Italy	Italian	Primafila Film	yes	qualsiasi + Sky HD
Sky Primafila 6	Italy	Italian	Primafila Film	no	qualsiasi
Sky Primafila 7 HD	Italy	Italian	Primafila Film/Primafila Hot Club	yes	qualsiasi + Sky HD
Sky Primafila 8	Italy	Italian	Primafila Film/Primafila Hot Club	no	qualsiasi
Sky Primafila 9 HD	Italy	Italian	Primafila Film/Primafila Hot Club	yes	qualsiasi + Sky HD
Sky Primafila 10	Italy	Italian	Primafila Film/Primafila Hot Club	no	qualsiasi
Sky Primafila 11 HD	Italy	Italian	Primafila Film/Primafila Hot Club	yes	qualsiasi + Sky HD
Sky Primafila 12	Italy	Italian	Primafila Film/Primafila Hot Club	no	qualsiasi
Sky Primafila 13 HD	Italy	Italian	Primafila Film/Primafila Hot Club	yes	qualsiasi + Sky HD
Sky Primafila 14	Italy	Italian	Primafila Film/Primafila Hot Club	no	qualsiasi
Sky Primafila 15	Italy	Italian	Primafila Film/Primafila Hot Club	no	qualsiasi
Sky Primafila 16	Italy	Italian	Primafila Film/Primafila Hot Club	no	qualsiasi
Sky Primafila 17	Italy	Italian	Primafila Film/Primafila Hot Club	no	qualsiasi
Sky Primafila 18	Italy	Italian	Primafila Film/Primafila Hot Club	no	qualsiasi
Sky Primafila 19	Italy	Italian	Primafila Film/Primafila Hot Club	no	qualsiasi
Sky Primafila 20 HD	Italy	Italian	Penthouse TV	yes	qualsiasi + Sky HD
Sky Primafila 21	Italy	Italian	Primafila Hot Club	no	qualsiasi
Sky Primafila 22	Italy	Italian	Primafila Hot Club	no	qualsiasi
Sky Primafila 23	Italy	Italian	Primafila Hot Club	no	qualsiasi
Sky Primafila 24	Italy	Italian	Primafila Hot Club	no	qualsiasi
Sky Primafila 25	Italy	Italian	Primafila Hot Club	no	qualsiasi
Sky Primafila 26	Italy	Italian	Primafila Hot Club	no	qualsiasi
Sky Primafila 27	Italy	Italian	Primafila Hot Club	no	qualsiasi
Sky Primafila 28	Italy	Italian	Man-X	no	qualsiasi
Vetrina Primafila	Italy	Italian	presentazione	no	qualsiasi
