Game	Date	Opponent	Score	Location	Attendance	Record	Points
14	November 1	Columbus Blue Jackets	4 - 5 OT	Verizon Center	18277	8-2-4	20
15	November 4	New Jersey Devils	2 - 3	Prudential Center	13498	8-3-4	20
16	November 6	Florida Panthers	4 - 1	BankAtlantic Center	15877	9-3-4	22
17	November 7	Florida Panthers	7 - 4	Verizon Center	18277	10-3-4	24
18	November 11	New York Islanders	5 - 4 SO	Verizon Center	18277	11-3-4	26
19	November 13	Minnesota Wild	3 - 1	Verizon Center	18277	12-3-4	28
20	November 14	New Jersey Devils	2 - 5	Prudential Center	16521	12-4-4	28
21	November 17	New York Rangers	4 - 2	Madison Square Garden	18200	13-4-4	30
22	November 20	Montreal Canadiens	2 - 3	Verizon Center	18277	13-5-4	30
23	November 21	Toronto Maple Leafs	1 - 2 SO	Air Canada Centre	19455	13-5-5	31
24	November 23	Ottawa Senators	3 - 4 OT	Scotiabank Place	16210	13-5-6	32
25	November 25	Buffalo Sabres	2 - 0	Verizon Center	18277	14-5-6	34
26	November 28	Montreal Canadiens	4 - 3 SO	Bell Centre	21273	15-5-6	36
