Details	Host Nation(s)	Final Venue	Winner	Result	Runner-up
2009 Division Seven	Guernsey	King George V Sports Ground, Castel	[[|]] 207/7 (46.1 overs)	Bahrain won by 3 wickets Scorecard	Guernsey 204/9 (50.0 overs)
2009 Division Six	Singapore	Kallang Cricket Ground, Singapore	[[|]] 242/8 (50.0 overs)	Singapore won by 68 runs Scorecard	[[|]] 174 all out (48.4 overs)
2010 Division One	Netherlands	VRA Ground , Amstelveen	Ireland 233/4 (44.5 overs)	Ireland won by 6 wickets Scorecard	[[|]] 232 all out (48.5 overs)
2010 Division Four	Italy	Ovale di Rastignano, Pianoro	United States 188/2 (21.4 overs)	United States won by 8 wickets Scorecard	Italy 185/9 (50 overs)
2010 Division Eight	Kuwait	Kuwait Oil Company Hubara Ground, Ahmadi City	[[|]] 164/4 (33.1 overs)	Kuwait won by 6 wickets Scorecard	[[|]] 163/8 (50 overs)
2011 Division Three	Hong Kong	Kowloon Cricket Club	Hong Kong 207/6 (47.1 overs)	Hong Kong won by 4 wickets Scorecard	[[|]] 202 (50 overs)
2011 Division Two	United Arab Emirates	DSC Cricket Stadium , Dubai	[[|]] 201/5 (45.3 overs)	United Arab Emirates won by 5 wickets Scorecard	Namibia 200 (49.3 overs)
2011 Division Seven	Botswana	Botswana Cricket Association Oval 1 , Gaborone	[[|]] 219/9 (50 overs)	Kuwait won by 72 runs Scorecard	[[|]] 147 (36.5 overs)
2011 Division Six	Malaysia	Kinrara Academy Oval , Kuala Lumpur	Guernsey 211/8 (49.3 overs)	Guernsey won by 2 wickets Scorecard	[[|]] 208/9 (50 overs)
2012 Division Five	Singapore	Kallang Ground , Singapore	[[|]] 164/1 (26.4 overs)	Singapore won by 9 wickets Scorecard	[[|]] 159 (47 overs)
2012 Division Four	Malaysia	Kinrara Academy Oval , Kuala Lumpur	[[|]] 147/2 (28 overs)	Nepal won by 8 wickets Scorecard	United States 145 (48.1 overs)
2012 Division Eight	Samoa	Faleata Oval No 1 , Apia	[[|]] 222/9 (50 overs)	Vanuatu won by 39 runs Scorecard	[[|]] 183 (42.5 overs)
2013 Division Seven	Botswana	Botswana Cricket Association Oval 1 , Gaborone	[[|]] 134/4 (32.1 overs)	Nigeria won by 6 wickets ( D/L ) Scorecard	[[|]] 133 (38,4 overs)
2013 Division Three	Bermuda	National Stadium , Hamilton	[[|]] 153/5 (39.2 overs)	Nepal won by 5 wickets Scorecard	[[|]] 151/8 (50.0 overs)
2013 Division Six	Jersey	Grainville Cricket Ground , St. Saviour	Jersey 10 points	Jersey won on points Table	[[|]] 8 points
