Head of mission	Tenure begins	Tenure ends	French Head of State	Japanese emperor
Jean Daridan	1959	1961	Charles de Gaulle	Hirohito
Étienne Dennery	1961	1964	Charles de Gaulle	Hirohito
François Missoffe	1964	1966	Charles de Gaulle	Hirohito
Louis de Guiringaud	1966	1972	Georges Pompidou	Hirohito
François Lefebvre de Laboulaye	1972	1975	Valéry Giscard d'Estaing	Hirohito
Jean-Pierre Brunet	1975	1977	Valéry Giscard d'Estaing	Hirohito
Louis Dauge	1977	1979	Valéry Giscard d'Estaing	Hirohito
Xavier Daufresne de la Chevalerie	1979	1982	François Mitterrand	Hirohito
André Ross	1982	1985	François Mitterrand	Hirohito
Gilbert Pérol	1985	1987	François Mitterrand	Hirohito
Bernard Dorin	1987	1991	François Mitterrand	Akihito
Loïc Hennekinne	1991	1993	François Mitterrand	Akihito
Jean-Bernard Ouvrieu	1993	1998	Jacques Chirac	Akihito
Maurice Gourdault-Montagne	1998	2002	Jacques Chirac	Akihito
Bernard Faubournet de Montferrand	2002	2006	Jacques Chirac	Akihito
Gildas Le Lidec	2006	2007	Jacques Chirac	Akihito
