Date	Visitor	Score	Home	Record
October 7	New England Whalers	2–4	Quebec Nordiques	1–0–0
October 9	Quebec Nordiques	2–3	New England Whalers	1–1–0
October 11	Quebec Nordiques	4–1	Toronto Toros	2–1–0
October 13	Quebec Nordiques	3–6	Cleveland Crusaders	2–2–0
October 18	Toronto Toros	2–5	Quebec Nordiques	3–2–0
October 20	New York Golden Blades	1–8	Quebec Nordiques	4–2–0
October 21	Quebec Nordiques	3–4	New York Golden Blades	4–3–0
October 25	Chicago Cougars	4–2	Quebec Nordiques	4–4–0
October 26	Quebec Nordiques	5–4	Minnesota Fighting Saints	5–4–0
October 28	Quebec Nordiques	3–2	Houston Aeros	6–4–0
October 30	Quebec Nordiques	6–4	Los Angeles Sharks	7–4–0
October 31	Quebec Nordiques	5–1	Vancouver Blazers	8–4–0
November 2	Quebec Nordiques	4–5	Edmonton Oilers	8–5–0
November 4	Quebec Nordiques	2–8	Winnipeg Jets	8–6–0
November 6	Winnipeg Jets	2–2	Quebec Nordiques	8–6–1
November 8	Edmonton Oilers	4–3	Quebec Nordiques	8–7–1
November 10	Quebec Nordiques	3–4	New York Golden Blades	8–8–1
November 11	New England Whalers	2–3	Quebec Nordiques	9–8–1
November 15	New England Whalers	5–3	Quebec Nordiques	9–9–1
November 17	Quebec Nordiques	10–4	New England Whalers	10–9–1
November 18	Houston Aeros	3–8	Quebec Nordiques	11–9–1
November 22	Toronto Toros	4–2	Quebec Nordiques	11–10–1
November 23	Quebec Nordiques	3–2	Cleveland Crusaders	12–10–1
November 25	Quebec Nordiques	1–3	New Jersey Knights	12–11–1
November 27	Quebec Nordiques	1–3	Toronto Toros	12–12–1
November 29	Cleveland Crusaders	4–4	Quebec Nordiques	12–12–2
December 1	Houston Aeros	3–3	Quebec Nordiques	12–12–3
December 2	Quebec Nordiques	3–5	Winnipeg Jets	12–13–3
December 8	Quebec Nordiques	1–4	Minnesota Fighting Saints	12–14–3
December 9	Chicago Cougars	1–6	Quebec Nordiques	13–14–3
December 12	Quebec Nordiques	1–2	Vancouver Blazers	13–15–3
December 14	Quebec Nordiques	4–3	Edmonton Oilers	14–15–3
December 16	Quebec Nordiques	4–3	Toronto Toros	15–15–3
December 18	Edmonton Oilers	2–4	Quebec Nordiques	16–15–3
December 22	Toronto Toros	6–4	Quebec Nordiques	16–16–3
December 27	Cleveland Crusaders	2–4	Quebec Nordiques	17–16–3
December 28	Quebec Nordiques	4–6	Chicago Cougars	17–17–3
December 29	Winnipeg Jets	4–3	Quebec Nordiques	17–18–3
January 5	Vancouver Blazers	2–5	Quebec Nordiques	18–18–3
January 6	Chicago Cougars	0–4	Quebec Nordiques	19–18–3
January 10	Los Angeles Sharks	1–7	Quebec Nordiques	20–18–3
January 12	Quebec Nordiques	1–5	Houston Aeros	20–19–3
January 15	Quebec Nordiques	4–6	Los Angeles Sharks	20–20–3
January 19	Quebec Nordiques	2–5	Chicago Cougars	20–21–3
January 20	Minnesota Fighting Saints	4–5	Quebec Nordiques	21–21–3
January 24	Quebec Nordiques	1–5	Houston Aeros	21–22–3
January 25	Quebec Nordiques	0–2	Los Angeles Sharks	21–23–3
January 27	Cleveland Crusaders	3–4	Quebec Nordiques	22–23–3
January 29	Los Angeles Sharks	0–5	Quebec Nordiques	23–23–3
January 31	Houston Aeros	4–6	Quebec Nordiques	24–23–3
February 1	Toronto Toros	1–2	Quebec Nordiques	25–23–3
February 3	New Jersey Knights	3–5	Quebec Nordiques	26–23–3
February 6	Quebec Nordiques	3–0	New England Whalers	27–23–3
February 8	Quebec Nordiques	3–7	Vancouver Blazers	27–24–3
February 10	Quebec Nordiques	4–3	Edmonton Oilers	28–24–3
February 12	Quebec Nordiques	4–6	Toronto Toros	28–25–3
February 14	Quebec Nordiques	5–3	Chicago Cougars	29–25–3
February 16	Quebec Nordiques	2–5	Cleveland Crusaders	29–26–3
February 17	Quebec Nordiques	3–10	New Jersey Knights	29–27–3
February 19	Cleveland Crusaders	5–6	Quebec Nordiques	30–27–3
February 22	Minnesota Fighting Saints	6–4	Quebec Nordiques	30–28–3
February 24	New Jersey Knights	4–7	Quebec Nordiques	31–28–3
February 26	Winnipeg Jets	1–7	Quebec Nordiques	32–28–3
February 28	Vancouver Blazers	4–9	Quebec Nordiques	33–28–3
March 3	Quebec Nordiques	6–8	Winnipeg Jets	33–29–3
March 7	Chicago Cougars	3–2	Quebec Nordiques	33–30–3
March 9	Quebec Nordiques	5–9	Minnesota Fighting Saints	33–31–3
March 10	New Jersey Knights	2–5	Quebec Nordiques	34–31–3
March 14	Quebec Nordiques	3–2	Toronto Toros	35–31–3
March 16	Quebec Nordiques	3–4	Chicago Cougars	35–32–3
March 17	Minnesota Fighting Saints	5–3	Quebec Nordiques	35–33–3
March 21	Edmonton Oilers	5–5	Quebec Nordiques	35–33–4
March 23	Vancouver Blazers	2–6	Quebec Nordiques	36–33–4
March 24	New England Whalers	3–4	Quebec Nordiques	37–33–4
March 27	Quebec Nordiques	4–5	Cleveland Crusaders	37–34–4
March 28	Los Angeles Sharks	3–9	Quebec Nordiques	38–34–4
March 30	Toronto Toros	3–1	Quebec Nordiques	38–35–4
March 31	Quebec Nordiques	2–3	New England Whalers	38–36–4
