Tournament	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	Q1	Q1	Q2	1R	2R
French Open	Q2	Q1	2R	2R	1R
Wimbledon	1R	Q2	3R	2R	1R
US Open	Q3	Q1	1R	1R	1R
Win–Loss	0–1	0–0	3–3	2–4	1–4
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells Masters	A	A	A	1R	1R
Miami Masters	A	A	A	1R	1R
Monte Carlo Masters	A	A	A	Q2	Q1
Rome Masters	A	A	A	A	A
Madrid Masters	A	A	A	A	A
Canada Masters	A	A	A	1R	A
Cincinnati Masters	A	A	A	A	A
Shanghai Masters	NMS	A	A	A	A
Paris Masters	A	A	Q1	A	A
Win–Loss	0–0	0–0	0–0	0–3	0–2
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Titles–Finals	0–0	0–0	0–0	0–0	0–0
Year-End Ranking	243	254	67	96	98
