Pos.	Player	Free Agent Type	2007 Team	Contract
WR	Isaac Bruce	Released	St. Louis Rams	2 years, $6 million
RB	DeShaun Foster	Released	Carolina Panthers	2 years, $1.8 million
LB	Roderick Green	UFA	San Francisco 49ers	1 year
QB	Shaun Hill	UFA	San Francisco 49ers	3 years, $6 million
WR	Bryant Johnson	UFA	Arizona Cardinals	1 year
QB	J. T. O'Sullivan	UFA	Detroit Lions	1 year, $645,000
CB	Allen Rossum	Released	Pittsburgh Steelers	1 year, $870,000
DE	Justin Smith	UFA	Cincinnati Bengals	6 years, $45 million
DT	Isaac Sopoaga	UFA	San Francisco 49ers	5 years, $20 million
CB	Donald Strickland	UFA	San Francisco 49ers	1 year, $800,000 [ dead link ]
LB	Dontarrious Thomas	UFA	Minnesota Vikings	2 years
