Date	Course	Distance	Type	Winner	Race Leader
24 May	Milan to Turin	km (mi)	Plain stage	Renzo Zanazzi ( ITA )	Renzo Zanazzi ( ITA )
25 May	Turin to Genoa	km (mi)	Plain stage	Gino Bartali ( ITA )	Renzo Zanazzi ( ITA )
26 May	Genoa to Reggio Emilia	km (mi)	Stage with mountain(s)	Luciano Maggini ( ITA )	Renzo Zanazzi ( ITA )
27 May	Reggio Emilia to Prato	km (mi)	Stage with mountain(s)	Fausto Coppi ( ITA )	Gino Bartali ( ITA )
28 May	Rest day	Rest day	Rest day	Rest day	Rest day
29 May	Prato to Bagni di Casciana Terme	km (mi)	Plain stage	Luciano Maggini ( ITA )	Gino Bartali ( ITA )
29 May	Bagni di Casciana Terme to Florence	km (mi)	Plain stage	Renzo Zanazzi ( ITA )	Gino Bartali ( ITA )
30 May	Florence to Perugia	km (mi)	Plain stage	Giordano Cottur ( ITA )	Gino Bartali ( ITA )
31 May	Perugia to Rome	km (mi)	Stage with mountain(s)	Oreste Conte ( ITA )	Gino Bartali ( ITA )
1 June	Rome to Naples	km (mi)	Plain stage	Fausto Coppi ( ITA )	Gino Bartali ( ITA )
2 June	Rest day	Rest day	Rest day	Rest day	Rest day
3 June	Naples to Bari	km (mi)	Stage with mountain(s)	Elio Bertocchi ( ITA )	Gino Bartali ( ITA )
4 June	Bari to Foggia	km (mi)	Plain stage	Mario Ricci ( ITA )	Gino Bartali ( ITA )
5 June	Foggia to Pescara	km (mi)	Plain stage	Oreste Conte ( ITA )	Gino Bartali ( ITA )
6 June	Rest day	Rest day	Rest day	Rest day	Rest day
7 June	Pescara to Cesenatico	km (mi)	Plain stage	Giovanni Corrieri ( ITA )	Gino Bartali ( ITA )
8 June	Cesenatico to Padua	km (mi)	Plain stage	Antonio Bevilacqua ( ITA )	Gino Bartali ( ITA )
9 June	Padua to Vittorio Veneto	km (mi)	Plain stage	Adolfo Leoni ( ITA )	Gino Bartali ( ITA )
10 June	Vittorio Veneto to Pieve di Cadore	km (mi)	Stage with mountain(s)	Gino Bartali ( ITA )	Gino Bartali ( ITA )
11 June	Rest day	Rest day	Rest day	Rest day	Rest day
12 June	Pieve di Cadore to Trento	km (mi)	Stage with mountain(s)	Fausto Coppi ( ITA )	Fausto Coppi ( ITA )
13 June	Trento to Brescia Sant'Eufemia	km (mi)	Plain stage	Adolfo Leoni ( ITA )	Fausto Coppi ( ITA )
14 June	Brescia Sant'Eufemia to Lugano ( Switzerland )	km (mi)	Plain stage	Giulio Bresci ( ITA )	Fausto Coppi ( ITA )
15 June	Lugano ( Switzerland ) to Milan	km (mi)	Stage with mountain(s)	Adolfo Leoni ( ITA )	Fausto Coppi ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)	km (mi)
