Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	11 July 1988	Nice	Clay	Sandra Cecchini	5–7, 4–6
Runner-up	22 August 1988	Mahwah	Hard	Steffi Graf	0–6, 1–6
Runner-up	5 February 1990	Wichita	Hard (i)	Dinky Van Rensburg	6–2, 5–7, 2–6
Winner	24 September 1990	Bayonne	Hard (i)	Anke Huber	6–3, 7–6(8)
Runner-up	7 October 1991	Zürich	Carpet (i)	Steffi Graf	4–6, 4–6
Runner-up	23 March 1992	San Antonio	Hard	Martina Navrátilová	2–6, 1–6
Runner-up	28 September 1992	Bayonne	Hard (i)	Manuela Maleeva-Fragniere	7–6(4), 2–6, 3–6
Winner	1 November 1993	Quebec City	Carpet (i)	Katerina Maleeva	6–4, 6–1
Winner	19 June 1995	Eastbourne	Grass	Chanda Rubin	3–6, 6–0, 7–5
Runner-up	10 June 1996	Birmingham	Grass	Meredith McGrath	6–2, 4–6, 4–6
Winner	9 June 1997	Birmingham	Grass	Yayuk Basuki	2–6, 6–2, 6–2
Runner-up	13 October 1997	Zürich	Carpet (i)	Lindsay Davenport	6–7(3), 5–7
Runner-up	3 November 1997	Chicago	Carpet (i)	Lindsay Davenport	0–6, 5–7
Runner-up	22 June 1998	Wimbledon	Grass	Jana Novotná	4–6, 6–7(2)
Runner-up	2 November 1998	Leipzig	Carpet (i)	Steffi Graf	3–6, 4–6
Runner-up	7 June 1999	Birmingham	Grass	Julie Halard-Decugis	2–6, 6–3, 4–6
Runner-up	14 June 1999	Eastbourne	Grass	Natasha Zvereva	6–0, 5–7, 3–6
Winner	18 October 1999	Moscow	Carpet (i)	Barbara Schett	2–6, 6–4, 6–1
Winner	1 November 1999	Leipzig	Carpet (i)	Květa Hrdličková	6–1, 6–3
Winner	8 February 2000	Paris	Carpet (i)	Serena Williams	7–5, 6–2
Runner-up	19 February 2001	Dubai	Hard	Martina Hingis	4–6, 4–6
Winner	11 June 2001	Birmingham	Grass	Miriam Oremans	6–3, 7–5
