Name	Date of Birth	Height	Weight	Spike	Block
Stanislav Dineykin	10.10.1973	215	101	353	342
Sergei Baranov	10.08.1981	208	94	355	343
Pavel Abramov	23.04.1979	198	89	347	336
Alexei Kazakov	18.03.1976	217	102	355	342
Sergey Tetyukhin	23.09.1975	197	89	345	338
Vadim Khamuttskikh	26.11.1969	196	85	342	331
Alexander Kosarev	30.09.1977	200	90	339	328
Konstantin Ushakov	24.03.1970	198	77	343	332
Taras Khtey	22.05.1982	205	82	345	335
Andrey Egorchev	08.02.1978	205	103	343	330
Alexey Verbov	31.01.1982	183	75	315	310
Alexey Kuleshov	24.02.1979	206	92	353	340
