Game	Date	Opponent	Score	Decision	Location/Attendance	Record
63	1	Philadelphia Flyers	0-3	Brodeur	Prudential Center - 17,625	41-19-3
64	3	Toronto Maple Leafs	3-2 (OT)	Brodeur	Air Canada Centre - 19,389	42-19-3
65	7	New York Islanders	3-7	Brodeur	Nassau Coliseum - 15,524	42-20-3
66	10	Calgary Flames	2-3	Brodeur	Prudential Center - 14,598	43-20-3
67	12	Phoenix Coyotes	2-5	Brodeur	Prudential Center - 14,578	44-20-3
68	14	Montreal Canadiens	3-1	Brodeur	Bell Centre - 21,273	45-20-3
69	17	Chicago Blackhawks	2-3	Brodeur	Prudential Center - 17,625	46-20-3
70	18	Carolina Hurricanes	2-4	Weekes	RBC Center - 18,544	46-21-3
71	20	Minnesota Wild	0-4	Brodeur	Prudential Center - 17,625	47-21-3
72	22	Boston Bruins	1-4	Brodeur	TD Banknorth Garden - 17,565	47-22-3
73	23	Philadelphia Flyers	2-4	Brodeur	Wachovia Center - 19,762	47-23-3
74	27	Chicago Blackhawks	2-3 (OT)	Brodeur	United Center - 21,617	47-23-4
75	28	Carolina Hurricanes	2-1	Brodeur	Prudential Center - 17,018	47-24-4
76	30	New York Rangers	0-3	Brodeur	Madison Square Garden - 18,200	47-25-4
