Player	Position	Tries	Goals	Points
Robbie Paul	Fullback	10	0	40
Tevita Vaikona	Wing	13	0	52
Graeme Bradley	Centre	11	0	44
Abi Ekoku	Centre	2	0	8
Jon Scales	Wing	4	0	16
Danny Peacock	Stand Off	5	0	20
Neil Harmon	Prop	1	0	4
Kevin Crouthers	Hooker	1	0	4
Nathan Graham	Fullback	1	0	5
Jeremy Donougher	Second Row	3	0	12
Paul Medley	Second Row	1	0	4
Sonny Nickle	Loose Forward	0	0	0
Mike Forshaw	Loose Forward	7	0	28
Paul Anderson	Prop	0	0	0
Warren Jowitt	Prop	1	0	4
Nathan McAvoy	Wing	1	0	4
Harvey Howard	Prop	1	0	4
Matt Calland	Centre	7	0	28
Brian McDermott	Prop	6	0	24
Bernard Dwyer	Hooker	0	0	0
Paul Deacon	Scrum Half	4	4	24
James Lowes	Hooker	9	4	44
Steve McNamara	Loose Forward	1	81	170
Tahi Reihana	Prop	0	0	0
Stuart Spruce	Fullback	8	0	32
Stuart Fielden	Prop	0	0	0
Andy Hodgson	Centre	0	0	0
Michael Banks	Prop	0	0	0
Leon Pryce	Wing	0	0	0
Simon Knox	Loose Forward	0	0	0
Shaun Edwards	Scrum Half	5	0	20
