Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Ecurie Belge	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Johnny Claes	1, 3–8
Philippe Étancelin	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Philippe Étancelin	1, 3–4, 6, 8
Yves Giraud-Cabantous	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Yves Giraud-Cabantous	1, 3–4, 6–8
Yves Giraud-Cabantous	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Guy Mairesse	1, 4
Ecurie Rosier	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Louis Rosier	1, 3–8
Ecurie Rosier	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Henri Louveau	1
Ecurie Rosier	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Louis Chiron	3–8
HW Motors	HWM - Alta	51	Alta 2.0 L4 s	D	George Abecassis	1
HW Motors	HWM - Alta	51	Alta 2.0 L4 s	D	Stirling Moss	1
Scuderia Ferrari	Ferrari	125 375	Ferrari 125 1.5 V12 s Ferrari 375 4.5 V12	D P	Peter Whitehead	1
Scuderia Ferrari	Ferrari	125 375	Ferrari 125 1.5 V12 s Ferrari 375 4.5 V12	D P	Luigi Villoresi	1, 3–8
Scuderia Ferrari	Ferrari	125 375	Ferrari 125 1.5 V12 s Ferrari 375 4.5 V12	D P	Alberto Ascari	1, 3–8
Scuderia Ferrari	Ferrari	125 375	Ferrari 125 1.5 V12 s Ferrari 375 4.5 V12	D P	Piero Taruffi	1, 3, 6–8
Scuderia Ferrari	Ferrari	125 375	Ferrari 125 1.5 V12 s Ferrari 375 4.5 V12	D P	José Froilán González	4–8
Alfa Romeo SpA	Alfa Romeo	159	Alfa Romeo 158 1.5 L8 s	P	Giuseppe Farina	1, 3–8
Alfa Romeo SpA	Alfa Romeo	159	Alfa Romeo 158 1.5 L8 s	P	Juan Manuel Fangio	1, 3–8
Alfa Romeo SpA	Alfa Romeo	159	Alfa Romeo 158 1.5 L8 s	P	Toulo de Graffenried	1, 7–8
Alfa Romeo SpA	Alfa Romeo	159	Alfa Romeo 158 1.5 L8 s	P	Consalvo Sanesi	1, 3–5
Alfa Romeo SpA	Alfa Romeo	159	Alfa Romeo 158 1.5 L8 s	P	Luigi Fagioli	4
Alfa Romeo SpA	Alfa Romeo	159	Alfa Romeo 158 1.5 L8 s	P	Felice Bonetto	5–8
Alfa Romeo SpA	Alfa Romeo	159	Alfa Romeo 158 1.5 L8 s	P	Paul Pietsch	6
Enrico Platé	Maserati	4CLT/48	Maserati 4CLT 1.5 L4 s	P	Louis Chiron	1
Enrico Platé	Maserati	4CLT/48	Maserati 4CLT 1.5 L4 s	P	Harry Schell	1, 4
Enrico Platé	Maserati	4CLT/48	Maserati 4CLT 1.5 L4 s	P	Toulo de Graffenried	4, 6
