Team	Manager	Home city	Stadium	Capacity
Cibalia	Davor Mladina	Vinkovci	Stadion HNK Cibalia	9,920
Čakovec	Ilija Lončarević	Čakovec	Stadion SRC Mladost	8,000
Dinamo Zagreb	Marijan Vlak	Zagreb	Stadion Maksimir	37,168
Hajduk Split	Petar Nadoveza	Split	Gradski stadion u Poljudu	35,000
Hrvatski Dragovoljac	Milivoj Bračun	Zagreb	Stadion NŠC Stjepan Spajić	5,000
Marsonia	Stjepan Deverić	Slavonski Brod	Gradski stadion uz Savu	10,000
Osijek	Stanko Mršić	Osijek	Stadion Gradski vrt	19,500
Rijeka	Nenad Gračan	Rijeka	Stadion na Kantridi	10,275
Slaven Belupo	Mladen Frančić	Koprivnica	Gradski stadion u Koprivnici	4,000
Šibenik	Milo Nižetić	Šibenik	Stadion Šubićevac	8,000
Varteks	Ivan Katalinić	Varaždin	Stadion NK Varteks	10,800
NK Zagreb	Branko Karačić	Zagreb	Stadion u Kranjčevićevoj ulici	8,850
