Week	Date	Opponent	Result	Attendance
1	September 8, 2002	at Miami Dolphins	L 21-49	72,216
2	September 15, 2002	at Carolina Panthers	L 7-31	71,951
3	September 22, 2002	Green Bay Packers	L 31-37	61,505
4	September 29, 2002	New Orleans Saints	W 26-21	60,023
5	Bye	Bye	Bye	Bye
6	October 13, 2002	at Minnesota Vikings	L 24-31	64,013
7	October 20, 2002	Chicago Bears	W 23-20 (OT)	60,421
8	October 27, 2002	at Buffalo Bills	L 17-24	72,710
9	November 3, 2002	Dallas Cowboys	W 9-7	61,789
10	November 10, 2002	at Green Bay Packers	L 14-40	63,313
11	November 17, 2002	New York Jets	L 14-31	61,720
12	November 24, 2002	at Chicago Bears	L 17-20 (OT)	62,375
13	November 28, 2002	New England Patriots	L 12-20	62,109
14	December 8, 2002	at Arizona Cardinals	L 20-23 (OT)	28,640
15	December 15, 2002	Tampa Bay Buccaneers	L 20-23	61,942
16	December 28, 2002	at Atlanta Falcons	L 15-36	69,307
17	December 29, 2002	Minnesota Vikings	L 36-38	60,233
