Date	Visitor	Score	Home	Decision	Attendance	Record
October 9	Toronto	3 – 2	Detroit	Osgood	20,066	0–1–0
October 11	Detroit	3 – 2	Ottawa	Osgood	20,182	1–1–0
October 13	Detroit	3 – 1	Carolina	Conklin	18,680	2–1–0
October 16	Vancouver	4 – 3	Detroit	Osgood	19,011	2–1–1
October 18	NY Rangers	4 – 5	Detroit	Osgood	20,066	3–1–1
October 22	Detroit	4 – 3	St. Louis	Conklin	19,150	4–1–1
October 24	Atlanta	5 – 3	Detroit	Osgood	20,066	5–1–1
October 25	Detroit	6 – 5	Chicago	Conklin	22,690	6–1–1
October 27	Detroit	4 – 3	Los Angeles	Osgood	17,671	7–1–1
October 29	Detroit	4 – 5	Anaheim	Osgood	17,174	7–1–2
October 30	Detroit	2 – 4	San Jose	Conklin	17,496	7–2–2
