Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	8 January 1996	Adelaide , Australia	Hard	Yevgeny Kafelnikov	6-7, 6-3, 1-6
Runner-up	15 April 1996	New Delhi , India	Hard	Thomas Enqvist	2-6, 6-7
Winner	29 April 1996	Seoul , South Korea	Hard	Martin Damm	7–6, 6–3
Runner-up	13 April 1998	Hong Kong	Hard	Kenneth Carlsen	2-6, 0-6
Runner-up	20 April 1998	Tokyo , Japan	Hard	Andrei Pavel	3-6, 4-6
Runner-up	22 June 1998	Nottingham , England	Grass	Jonas Björkman	3-6, 2-6
Winner	12 April 1999	Chennai , India	Hard	Rainer Schüttler	6–4, 1–6, 6–3
Runner-up	15 November 1999	Moscow , Russia	Carpet	Yevgeny Kafelnikov	6-7, 4-6
Runner-up	21 February 2000	Memphis , USA	Hard (i)	Magnus Larsson	2-6, 6-1, 3-6
Runner-up	26 June 2000	Nottingham , England	Grass	Sébastien Grosjean	6-7, 3-6
