Player	Date of Birth	Batting Style	Bowling Style	First Class Team
Adam Hollioake (captain)	5 September 1971	Right hand bat	Right arm medium	Surrey
Ian Austin	30 May 1966	Left hand bat	Right arm medium	Lancashire
Ali Brown	11 February 1970	Right hand bat	Right arm off break	Surrey
Dougie Brown	29 October 1969	Right hand bat	Right arm fast-medium	Warwickshire
Mark Ealham	27 August 1969	Right hand bat	Right arm fast-medium	Kent Nottinghamshire
Neil Fairbrother	9 September 1963	Left hand bat	Left arm medium	Lancashire
Matthew Fleming	12 December 1964	Right hand bat	Right arm medium	Kent
Ashley Giles	19 March 1973	Right hand bat	Left arm orthodox spin	Warwickshire
Graeme Hick	23 May 1966	Right hand bat	Right arm off break	Worcestershire
Nick Knight	28 November 1969	Left hand bat	Right arm medium	Warwickshire
Graham Lloyd	1 July 1969	Right hand bat	Right arm medium	Lancashire
Peter Martin	15 November 1968	Right hand bat	Right arm fast-medium	Lancashire
Jack Russell (wicket-keeper)	15 August 1963	Left hand bat	Wicket-keeper	Gloucestershire
Chris Silverwood	5 March 1975	Right hand bat	Right arm fast-medium	Yorkshire
David Graveney (Manager)	2 January 1953	Right hand bat	Left arm orthodox spin	Gloucestershire
David Lloyd (Coach)	18 March 1947	Left hand bat	Left arm orthodox spin	Lancashire
Source:	Source:	Source:	Source:	Source:
