Game	February	Opponent	Score	Record
51	3	Chicago Black Hawks	4 - 2	30-11-10
52	4	@ Detroit Red Wings	1 - 0	31-11-10
53	6	@ Vancouver Canucks	5 - 4	32-11-10
54	9	@ Boston Bruins	6 - 3	32-12-10
55	10	Minnesota North Stars	4 - 3	33-12-10
56	13	@ St. Louis Blues	2 - 1	33-13-10
57	14	St. Louis Blues	2 - 1	34-13-10
58	17	@ Montreal Canadiens	3 - 0	34-14-10
59	20	@ Pittsburgh Penguins	2 - 0	35-14-10
60	21	Detroit Red Wings	4 - 1	36-14-10
61	24	Philadelphia Flyers	4 - 2	37-14-10
62	27	@ Pittsburgh Penguins	4 - 0	38-14-10
63	28	Vancouver Canucks	4 - 2	39-14-10
