Name	Latitude	Longitude	Diameter (km)	Year named
Alpan Fluctus	7.5S	349.0E	500.0	1997
Argimpasa Fluctus	0.0N	175.5E	950.0	1997
Arubani Fluctus	55.0S	132.0E	620.0	1997
Bolotnitsa Fluctus	50.0N	160.0E	1,100.0	1997
Cavillaca Fluctus	72.0S	340.0E	800.0	1997
Darago Fluctus	11.5S	313.5E	775.0	1994
Djabran Fluctus	43.5S	183.0E	300.0	1997
Djata Fluctus	66.5N	307.5E	280.0	1997
Dotetem Fluctus	6.0S	177.5E	530.0	1997
Eriu Fluctus	37.0S	357.0E	600.0	1991
Heloha Fluctus	77.0 N	344.0 E	375.0	2009
Henwen Fluctus	20.5S	179.9E	485.0	1994
Hikuleo Fluctus	52.5N	208.0E	600.0	1997
Ilaheva Fluctus	42.5S	84.0E	900.0	2000
Itoki Fluctus	6.0S	229.0E	900.0	2003
Juturna Fluctus	76.0S	350.0E	900.0	1997
Kaapaau Fluctus	66.5S	181.0E	350.0	2000
Kaiwan Fluctus	45.5S	358.0E	1,200.0	1991
Kasogonaga Fluctus	18.0S	268.0E	850.0	2000
Koti Fluctus	12.5N	318.0E	400.0	1997
Kunkubey Fluctus	50.0S	207.0E	350.0	2000
Mamapacha Fluctus	60.0N	185.0E	900.0	1997
Medb Fluctus	56.0S	127.0E	350.0	1997
Merisa Fluctus	20.5N	9.0E	630.0	2000
Mert Fluctus	50.5S	230.5E	250.0	2000
Mortim-Ekva Fluctus	1.0N	334.0E	1,250.0	2000
Mylitta Fluctus	54.0S	355.5E	1,250.0	1991
Nambubi Fluctus	61.0S	135.0E	850.0	1997
Naunet Fluctus	81.0S	136.0E	200.0	2000
Neago Fluctu-s	49.3N	351.0E	0.0	1991
Nekhebet Fluctus	0.0N	35.0E	400.0	1997
Ney-Anki Fluctus	37.0S	105.0E	950.0	2000
Ningyo Fluctus	5.5S	206.0E	970.0	1994
Oilule Fluctus	22.0S	79.0E	900.0	2000
Ovda Fluctus	6.1S	95.5E	310.0	1994
Praurime Fluctus	16.0N	154.0E	750.0	1997
Rafara Fluctus	65.0S	159.0E	700.0	1997
Sicasica Fluctus	52.0S	180.4E	175.0	1994
Sobra Fluctus	6.0N	248.0E	700.0	1997
Sonmunde Fluctus	60.0S	120.0E	400.0	1997
Strenia Fluctus	41.0N	250.0E	490.0	1997
Syvne Fluctus	36.0S	72.0E	900.0	2000
Tie Fluctus	21.0N	159.0E	550.0	2003
Tsunghi Fluctus	67.0S	130.0E	800.0	1997
Turgmam Fluctus	56.0N	220.0E	500.0	1997
Ubastet Fluctus	48.0S	27.0E	550.0	1997
Uilata Fluctus	17.0N	314.0E	700.0	1997
Uzume Fluctus	28.6N	220.3E	700.0	1997
Vut-Ami Fluctus	38.0S	67.0E	1,300.0	2000
Yagami Fluctus	80.6S	152.0E	260.0	2000
Zipaltonal Fluctus	37.7N	251.3E	290.0	1997
