Grid	Driver	Constructor	Qual	Rank	Laps	Time/Retired
7	Jimmy Bryan	Epperly - Offenhauser	144.18	1	200	3:44:13.80
25	George Amick	Epperly - Offenhauser	142.71	8	200	+ 27.63
8	Johnny Boyd	Kurtis Kraft - Offenhauser	144.02	24	200	+ 1:09.67
9	Tony Bettenhausen	Epperly - Offenhauser	143.91	9	200	+ 1:34.81
20	Jim Rathmann	Epperly - Offenhauser	143.14	10	200	+ 1:35.62
3	Jimmy Reece	Watson - Offenhauser	145.51	14	200	+ 2:16.95
13	Don Freeland	Phillips - Offenhauser	143.03	3	200	+ 2:21.06
19	Jud Larson	Watson - Offenhauser	143.51	16	200	+ 5:34.02
26	Eddie Johnson	Kurtis Kraft - Offenhauser	142.67	11	200	+ 6:15.76
33	Bill Cheesbourg	Kurtis Kraft - Novi	142.54	25	200	+ 8:03.59
21	Al Keller	Kurtis Kraft - Offenhauser	142.93	29	200	+ 9:14.20
6	Johnnie Parsons	Kurtis Kraft - Offenhauser	144.68	18	200	+ 9:40.85
30	Johnnie Tolan	Kuzma - Offenhauser	142.3	6	200	+ 9:52.24
17	Bob Christie	Kurtis Kraft - Offenhauser	142.25	30	189	Spun off
32	Dempsey Wilson	Kuzma - Offenhauser	134.27	32	151	Fire
12	A. J. Foyt	Kuzma - Offenhauser	143.13	33	148	Spun off
31	Mike Magill	Kurtis Kraft - Offenhauser	142.27	15	136	Disqualified
14	Paul Russo	Kurtis Kraft - Novi	142.95	31	122	Throttle
23	Shorty Templeman	Kurtis Kraft - Offenhauser	142.81	17	116	Brakes
11	Rodger Ward	Lesovsky - Offenhauser	143.26	20	93	Magneto
15	Billy Garrett	Kurtis Kraft - Offenhauser	142.77	13	80	Magneto
18	Eddie Sachs	Kuzma - Offenhauser	144.66	21	68	Transmission
22	Johnny Thomson	Kurtis Kraft - Offenhauser	142.9	7	52	Steering
29	Chuck Weyant	Dunn - Offenhauser	142.6	19	38	accident
10	Jack Turner	Lesovsky - Offenhauser	143.43	28	21	Fuel pump
4	Bob Veith	Kurtis Kraft - Offenhauser	144.88	12	1	Accident
1	Dick Rathmann	Watson - Offenhauser	145.97	4	0	Accident
2	Ed Elisian	Watson - Offenhauser	145.92	2	0	Accident
5	Pat O'Connor ✝	Kurtis Kraft - Offenhauser	144.82	5	0	Died in crash
16	Paul Goldsmith	Kurtis Kraft - Offenhauser	142.74	23	0	Accident
24	Jerry Unser	Kurtis Kraft - Offenhauser	142.75	22	0	Accident
27	Len Sutton	Kurtis Kraft - Offenhauser	142.65	26	0	Accident
28	Art Bisch	Kuzma - Offenhauser	142.63	27	0	Accident
